author,permlink,title,category,body,json_metadata,created,root_title,url,children
geeboy,success-103-successology,SUCCESS 103 (SUCCESSOLOGY),life,"http://www.incimages.com/uploaded_files/image/1940x900/climbing-ladder-1940x900_34483.jpg
Image source:http://www.incimages.com
In success, where you are, and where you are  going to is solely determined by YOU and your thoughts. It doesn't matter where you are coming from, what matters is your destination.
To achieve in live one must set goals, as goals are the fuel that keeps achievements on.
If you miss an opportunity to succeed, don't give up. Always keep trying and always remember that ZIG ZIGLAR said ""The elevator to success is out of service, but the stairs are always open""
Don't always expect an elevator always be prepared to go through the stairs","{""tags"":[""life"",""cn"",""writing"",""success"",""poetry""],""image"":[""http://www.incimages.com/uploaded_files/image/1940x900/climbing-ladder-1940x900_34483.jpg""],""links"":[""http://www.incimages.com""],""app"":""steemit/0.1"",""format"":""markdown""}",2016-12-13 06:36:21,SUCCESS 103 (SUCCESSOLOGY),/life/@geeboy/success-103-successology,0
geeboy,haccp-hazard-analysis-critical-control-point,HACCP (HAZARD ANALYSIS CRITICAL CONTROL POINT),science,"http://praediumventures.com/wp-content/uploads/2013/11/haccp.jpg
Image source:http://praediumventures.com/wp-com

**WHAT IS HAZARD?**
Hazard is a biological, chemical, or physical agent that is reasonably likely to cause illness or injury in the absence of its control.

**HAZARD ANALYSIS**
The process of collecting and evaluating information on hazards associated with the food under consideration to decide which are significant and must be addressed in the HACCP plan. 

**CONTROL MEASURE**
 Any action or activity that can be used to prevent, eliminate or reduce a significant hazard

**CRITICAL CONTROL POINT**
It is a step at which control can be applied and is essential to prevent or eliminate a food safety hazard or reduce it to an acceptable level.

**CRITICAL LIMIT**
 A critical limit is the criterion which separates acceptability from unacceptability.

**HACCP PLAN**
 A document prepared in accordance with the principles of HACCP to ensure control of hazards which are significant for food safety in the s","{""tags"":[""biology"",""education"",""microbiology"",""science""],""image"":[""http://praediumventures.com/wp-content/uploads/2013/11/haccp.jpg"",""http://www.safetech.ie/uploadedfiles/sys_courses/fsh.jpg"",""http://www.iso-22000-haccp-food-safety.com/images/7-principles.jpg""],""links"":[""http://praediumventures.com/wp-com"",""http://www.safetech.ie"",""http://www.fda.gov/Food/GuidanceRegulation/HACCP/ucm2006801.htm"",""http://www.iso-22000-haccp-food-safety.com"",""http://www.food.gov.uk/sites/default/files/pdfs/guidehac""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-01-06 10:28:42,HACCP (HAZARD ANALYSIS CRITICAL CONTROL POINT),/science/@geeboy/haccp-hazard-analysis-critical-control-point,0
geeboy,sudden-cardiac-arrest,SUDDEN CARDIAC ARREST,medicine,"Cardiac arrest/ Sudden cardiac arrest (CSA) is when the heart suddenly and unexpectedly stops beating; It  is the abrupt loss of heart function in a person.
http://prehospitalresearch.eu/wp-content/uploads/2014/03/autopulse.png
image source:http://prehospitalresearch.eu/wp-content/uploads/2014/03/autopulse
A cardiac arrest happens when the heart stops pumping blood around the body, which accompanies collapsing without warning. The heart stops beating, and blood stops flowing to the brain and other organs. within a few seconds, breathing stops and there is no pulse.
Cardiac arrest risk is higher for men after age 45 and for women after age 55.
http://4.bp.blogspot.com/-tn7u1RYt_G8/VbPRQ5fPiRI/AAAAAAAAMAU/MMLkneOegWo/s1600/glowingheart.jpg
image source:http://4.bp.blogspot.com/-tn7u1RYt_G8/VbPRQ5fPiRI/AAAAAAAAMAU/MMLkneOegWo/s1600/glowingheart

**Difference between a heart attack and a cardiac arrest**

**A heart attack** is when one of the coronary arteries supplying blood to the heart muscle becomes blocked.","{""tags"":[""medicine"",""biology"",""education"",""science"",""life""],""image"":[""http://prehospitalresearch.eu/wp-content/uploads/2014/03/autopulse.png"",""http://4.bp.blogspot.com/-tn7u1RYt_G8/VbPRQ5fPiRI/AAAAAAAAMAU/MMLkneOegWo/s1600/glowingheart.jpg"",""https://sykepleien.no/sites/default/files/styles/main_image_article/public/colourbox20368036_hjertestans.jpg?itok=OAxfjZz8"",""https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/US_Navy_040421-N-8090G-001_Hospital_Corpsman_3rd_Class_Flowers_administers_chest_compressions_to_a_simulated_cardiac_arrest_victim.jpg/300px-US_Navy_040421-N-8090G-001_Hospital_Corpsman_3rd_Class_Flowers_administers_chest_compressions_to_a_simulated_cardiac_arrest_victim.jpg"",""http://www.jems.com/content/jems/en/articles/print/volume-40/issue-12/features/smartphone-use-in-out-of-hospital-cardiac-arrest/_jcr_content/leftcolumn/article/thumbnailimage.img.jpg""],""links"":[""http://prehospitalresearch.eu/wp-content/uploads/2014/03/autopulse"",""http://4.bp.blogspot.com/-tn7u1RYt_G8/VbPRQ5fPiRI/AAAAAA",2017-02-02 02:24:33,SUDDEN CARDIAC ARREST,/medicine/@geeboy/sudden-cardiac-arrest,0
geeboy,pictorial-presentation-of-child-growth-in-the-womb,PICTORIAL PRESENTATION OF CHILD GROWTH IN THE WOMB,medicine,"https://assets.babycenter.com/ims/2015/01/pregnancy-week-2-fertilization.jpg?width=580
2 weeks after fertilisation 


https://assets.babycenter.com/ims/2015/01/pregnancy-week-3-blastocycst_4x3.jpg?width=580
3 weeks pregnancy

https://assets.babycenter.com/ims/2015/01/pregnancy-week-4-yolk-sac_4x3.jpg?width=580
4 weeks pregnancy

http://www.yourpregnancy-weekbyweek.com/images/5-week-pregnancy.jpg
5 weeks old baby in the womb

http://images.parents.mdpcdn.com/sites/parents.com/files/week_by_week_6_baby_development.jpg
A 6 weeks baby in the womb

https://i.ytimg.com/vi/vmmi8LWxqQs/hqdefault.jpg
7 weeks pregnancy

https://assets.babycenter.com/ims/2015/01/pregnancy-week-8-brain-nerve-cells_4x3.jpg
8 weeks old foetus in the womb

https://assets.babycenter.com/ims/2015/01/pregnancy-week-9-finger-touch-pads.jpg?width=580
9 weeks pregnancy


http://www.mumsnet.com/system/1/assets/files/000/022/182/22182/19d210114/original/xweek10.JPG.pagespeed.ic.92Xd2bRXhr.jpg
10 weeks baby in the womb


https://cdn.multibrand3.pgs","{""tags"":[""medicine"",""mothers"",""health"",""gee""],""image"":[""https://assets.babycenter.com/ims/2015/01/pregnancy-week-2-fertilization.jpg?width=580"",""https://assets.babycenter.com/ims/2015/01/pregnancy-week-3-blastocycst_4x3.jpg?width=580"",""https://assets.babycenter.com/ims/2015/01/pregnancy-week-4-yolk-sac_4x3.jpg?width=580"",""http://www.yourpregnancy-weekbyweek.com/images/5-week-pregnancy.jpg"",""http://images.parents.mdpcdn.com/sites/parents.com/files/week_by_week_6_baby_development.jpg"",""https://i.ytimg.com/vi/vmmi8LWxqQs/hqdefault.jpg"",""https://assets.babycenter.com/ims/2015/01/pregnancy-week-8-brain-nerve-cells_4x3.jpg"",""https://assets.babycenter.com/ims/2015/01/pregnancy-week-9-finger-touch-pads.jpg?width=580"",""http://www.mumsnet.com/system/1/assets/files/000/022/182/22182/19d210114/original/xweek10.JPG.pagespeed.ic.92Xd2bRXhr.jpg"",""https://cdn.multibrand3.pgsitecore.com/en-US/-/media/Pampers/Pampers-US/Articles/Pregnancy-Week-by-Week/week_11_605x380.jpg?h=380&amp;w=605&amp;v=1-201510071828&amp;crop=1&amp;sc=",2017-02-04 08:47:24,PICTORIAL PRESENTATION OF CHILD GROWTH IN THE WOMB,/medicine/@geeboy/pictorial-presentation-of-child-growth-in-the-womb,0
geeboy,rapture,RAPTURE,christianity,"Rapture is the greatest  event of all ages that the church is waiting for. It is the taking away of the true believers in Christ to meet with the lord (1 Thessalonians 4: 16 - 17 ) just as christ was taken up at the end of his first advent.
http://ireporterstv.co/wp-content/uploads/2014/11/More-Beautiful-Ladies-Being-%E2%80%9CRAPTURED%E2%80%9D-To-Heaven-In-Florida.jpg


The rapture is not the same as the second coming of Jesus christ, it is the first phase of he second advent. Christ will appear in the air but will not be visible to the air but will not be visible to the inhabitants of the earth. His mission is to come and resurrect all dead saints, who along with the living believers, who put on immortality and shall be caught up to be with the lord.
https://s-media-cache-ak0.pinimg.com/originals/ea/78/ea/ea78ea644b412c576ce6eea88f783e93.jpg

the second advent will not take place until after the great tribulation. The time of rapture is unknown, even to the angels (Matthew 24: 36). The rapture will be heral","{""tags"":[""christianity"",""bible"",""religion"",""knowledge"",""geeboy""],""image"":[""http://ireporterstv.co/wp-content/uploads/2014/11/More-Beautiful-Ladies-Being-%E2%80%9CRAPTURED%E2%80%9D-To-Heaven-In-Florida.jpg"",""https://s-media-cache-ak0.pinimg.com/originals/ea/78/ea/ea78ea644b412c576ce6eea88f783e93.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-03-12 13:43:06,RAPTURE,/christianity/@geeboy/rapture,5
geeboy,who-should-decide-for-bitcoin-true-decentralization-need-not-be-absolute,Who Should Decide For Bitcoin: True Decentralization Need Not Be Absolute,bitcoin,"The current Bitcoin scaling conflict boils down not only to technology but also to money, politics and the understanding of democracy in the crypto community. Both factions are claiming that the other one is trying to prevent Bitcoin’s growth or take it under control. There are also theories abound that insist the opposite side is waging an information war, secretly funded by big money (Blockstream for SegWit and Roger Ver for BU).
https://cointelegraph.com/images/725_Ly9jb2ludGVsZWdyYXBoLmNvbS9zdG9yYWdlL3VwbG9hZHMvdmlldy84ZDQ0NmNhZmYyMzFkN2U3Mzg1NDFiZjBmYjhkOWFlYy5qcGc=.jpg
source:https://cointelegraph.com/images/725_Ly9jb2ludGVsZWdyYXBoLmNvbS9zdG9yYWdlL3VwbG9hZHMvdmlldy84ZDQ0NmNhZmYyMzFkN2U3Mzg1NDFiZjBmYjhkOWFlYy5qcGc
The understanding of democracy is also very important. We wrote how a fork of Dash, PIVX, have embarked on a project that they claim will achieve absolute decentralization within the DLT community. They believe that Satoshi’s original intention was a community where millions of individuals wo","{""tags"":[""bitcoin"",""bitcoinnews"",""decentralization""],""image"":[""https://cointelegraph.com/images/725_Ly9jb2ludGVsZWdyYXBoLmNvbS9zdG9yYWdlL3VwbG9hZHMvdmlldy84ZDQ0NmNhZmYyMzFkN2U3Mzg1NDFiZjBmYjhkOWFlYy5qcGc=.jpg""],""links"":[""https://cointelegraph.com/images/725_Ly9jb2ludGVsZWdyYXBoLmNvbS9zdG9yYWdlL3VwbG9hZHMvdmlldy84ZDQ0NmNhZmYyMzFkN2U3Mzg1NDFiZjBmYjhkOWFlYy5qcGc"",""https://cointelegraph.com""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-03-31 18:46:27,Who Should Decide For Bitcoin: True Decentralization Need Not Be Absolute,/bitcoin/@geeboy/who-should-decide-for-bitcoin-true-decentralization-need-not-be-absolute,2
geeboy,bitcoin-now-an-option-to-buy-legal-cannabis-in-washington-state,BITCOIN NOW AN OPTION TO BUY LEGAL CANNABIS IN WASHINGTON STATE,bitcoin,"**BITCOIN SOLVES CANNABIS INDUSTRY'S BIGGEST PROBLEM**

Although cannabis has been legalized in Washington by state voters, banks are still being cautious about dealing with the schedule I prohibited substance. That's why pot stores in Washinton state are typically cash-only with a few exceptions that allow the cashier to run the cashier to run the customer's debit card through a cash register with a built-in ATM.

https://news.bitcoin.com/wp-content/uploads/2016/07/weed-640x480.jpg
source:https://news.bitcoin.com
However, square-based Fintech startup POSaBIT is using Bitcoin to circumvent the problem of handling a large amount of cash for dispensaries and of payment options for customers.

The company's CEO and co-founder Ryan Hamlin has bubbed the service as a 'Bitcoin kiosk solution'. POSaBIT enables customers to easily acquire Bitcoin at any point-of-sale and then make purchases on the spot or at any other store that accept Bitcoin.

**HOW DOES IT WORK?**

POSaBIT allows customers to buy Bitcoin with a d","{""tags"":[""bitcoin"",""cannabis"",""cryptocurrency"",""posabit"",""washington""],""image"":[""https://news.bitcoin.com/wp-content/uploads/2016/07/weed-640x480.jpg"",""http://bitcoinist.com/wp-content/uploads/2017/03/POSaBIT-hardware.jpg"",""http://bitcoinist.com/wp-content/uploads/2016/07/Cannabis-Bitcoin-600x325.jpg""],""links"":[""https://news.bitcoin.com"",""http://bitcoinist.com/wp-content/uploads/2017/03/POSaBIT-hardware"",""http://bitcoinist.com"",""http://bitcoinist.com/china-syndrome-bitcoin-exchanges-doomed""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-03-31 11:26:42,BITCOIN NOW AN OPTION TO BUY LEGAL CANNABIS IN WASHINGTON STATE,/bitcoin/@geeboy/bitcoin-now-an-option-to-buy-legal-cannabis-in-washington-state,4
geeboy,diabetes,DIABETES,medicine,"**DIABETES**
Diabetes, generally referred to by doctors as diabetes mellitus, describes an accumulation of metabolic diseases in which the being has top claret glucose (blood sugar), either because insulin assembly is inadequate, or because the body's cell do not acknowledge appropriately to insulin, or both. Patients with top claret amoroso will about acquaintance polyuria (frequent urination), they will become more agog (polydipsia) and athirst (polyphagia).
https://upload.wikimedia.org/wikipedia/commons/2/28/Main_symptoms_of_diabetes.png
source:https://upload.wikimedia.org

What are the diverse sorts of diabetes? 

The most widely recognized sorts of diabetes are type 1, type 2, and gestational diabetes. 

**Type 1 diabetes**

In the event that you have type 1 diabetes, your body does not make insulin. Your invulnerable framework assaults and annihilates the cells in your pancreas that make insulin. Type 1 diabetes is generally analyzed in kids and youthful grown-ups, despite the fact that it can show up ","{""tags"":[""medicine"",""health"",""science"",""education"",""geeboy""],""image"":[""https://upload.wikimedia.org/wikipedia/commons/2/28/Main_symptoms_of_diabetes.png"",""https://img.youtube.com/vi/_OOWhuC_9Lw/0.jpg"",""http://www.naturomedica.com/uploads/images/type-1.jpg"",""http://media.getdocsays.com/wp-content/uploads/2016/04/08101257/diabetes.jpg""],""links"":[""https://upload.wikimedia.org"",""https://youtu.be/_OOWhuC_9Lw"",""http://www.naturomedica.com"",""http://media.getdocsays.com/wp-content/uploads/2016/04/08101257/diabetes""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-03-30 15:04:45,DIABETES,/medicine/@geeboy/diabetes,4
geeboy,leprosy-mycobacterium-leprae,LEPROSY - MYCOBACTERIUM LEPRAE,medicine,"Leprosy is a persistent long-term serious disease which is the effect of a bacillus, Mycobacterium leprae.
M. leprae multiplies gradually and slowly but surely and the incubation period of the disease typically is 5 years. In some instances, symptoms might occur within 12 months but can also take so long as 20 years.
The condition mainly impacts the skin, the peripheral nerves, mucosa of the top respiratory tract, as well as the eyes.
Leprosy is curable with multidrug remedy (MDT).
https://web.stanford.edu/class/humbio103/ParaSites2005/Leprosy/pictures/face%20nodules.jpg
source:https://web.stanford.edu/class/humbio103/ParaSites2005/Leprosy/pictures/face%20nodules
However is not highly infectious, leprosy is transmitted via droplets, from the nasal area (nostrils) and the oral cavity, during close and recurrent contacts with unattended cases.
Untreated, leprosy can cause intensifying and long-lasting damage to the skin, nerves, limbs, and eyes.

Official statistics from 138 countries from 6 WHO area show the ","{""tags"":[""medicine"",""health"",""science"",""education"",""geeboy""],""users"":[""geeboy""],""image"":[""https://web.stanford.edu/class/humbio103/ParaSites2005/Leprosy/pictures/face%20nodules.jpg"",""http://www.forgottendiseases.org/assets/Leprosy/img/Leprosy_deformities_hands_WmCommons.jpg"",""http://thefitnesstips.com/wp-content/uploads/2012/02/Leprosy.jpg"",""http://risingstaroutreach.org/images/OldLady.jpg"",""https://steemitimages.com/DQmQts5JmexHkrBLCt9Jo3bMXAT76xeCFWsZbcJnipujF6N/geeboy1.png""],""links"":[""https://web.stanford.edu/class/humbio103/ParaSites2005/Leprosy/pictures/face%20nodules"",""http://www.forgottendiseases.org/assets/Leprosy/img/Leprosy_deformities_hands_WmCommons"",""http://thefitnesstips.com/wp-content/uploads/2012/02/Leprosy"",""http://risingstaroutreach.org""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-03-30 11:00:39,LEPROSY - MYCOBACTERIUM LEPRAE,/medicine/@geeboy/leprosy-mycobacterium-leprae,0
geeboy,my-day-out-at-the-dental-clinic-the-good-bad-and-ugly-of-removing-my-tooth,"MY DAY OUT AT THE DENTAL CLINIC - the good, bad and ugly of removing my tooth",tooth,"Today comprised of both pain and fun as I visited the Dentist to take care of my tooth. I had my 7th tooth below left broken and started to decay, so i visited the dentist.

I felt pain all through last night and could not sleep, so i was rushed to the hospital where I was taken to the Dental clinic.
The dental doctor was friendly and careful but I knew I was still going to pass through a little pain I had to bear so my tooth can be happy again. Although the pain i felt during the removal of my tooth was mild, since i was given anesthesia. 

The dentist kept smilling that i could see his smile through his face mask, which gave me the assurance that he was good at what he does.

I didn't spend too much time at the clinic as the removal was soon, but i was told by the Doctor to keep watch of the injured Gum and rinse with warm water and NaCl (Edible salt) several times for seven days so as to heal up the injuries before coming for an implant. 
i couldn't get my pictures because of the pain i was passing throug","{""tags"":[""tooth"",""geeboy""],""users"":[""geeboy""],""image"":[""https://steemitimages.com/DQmQts5JmexHkrBLCt9Jo3bMXAT76xeCFWsZbcJnipujF6N/geeboy1.png""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-03-30 07:47:39,"MY DAY OUT AT THE DENTAL CLINIC - the good, bad and ugly of removing my tooth",/tooth/@geeboy/my-day-out-at-the-dental-clinic-the-good-bad-and-ugly-of-removing-my-tooth,0
