author,permlink,title,category,body,json_metadata,created,root_title,url,children
oluwatobiloba,introducing-myself-to-steemit,INTRODUCING MYSELF TO STEEMIT,introducingyourself,"Hello everyone, this is my introduction post.
I am new on steemit an i hope to enjoy everything that goes on here. My name is oluwatobiloba, i am an African. knowing steemit is one of the  best event of my life.
i'm a biochemist  and I love singing, writing, dancing and readng.
![DSC_0654.JPG](https://steemitimages.com/DQmPvBd8Z37LZ3gj8dNY7pLaSGq3NTHrDZDVhmxZXDwnQBE/DSC_0654.JPG)

I  am so excited that finally i have the opportunity to share ideas, stories and articles. since writing is the catalyst of life

![DSC_0655.JPG](https://steemitimages.com/DQmahVogkHpGXcRovwW8uESfFXsno7vdC2Qit5soL1R6WTN/DSC_0655.JPG)

I LOVE STEEMIT","{""tags"":[""introducingyourself"",""steemit"",""introuction""],""image"":[""https://steemitimages.com/DQmPvBd8Z37LZ3gj8dNY7pLaSGq3NTHrDZDVhmxZXDwnQBE/DSC_0654.JPG"",""https://steemitimages.com/DQmahVogkHpGXcRovwW8uESfFXsno7vdC2Qit5soL1R6WTN/DSC_0655.JPG""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-04-29 15:10:42,INTRODUCING MYSELF TO STEEMIT,/introducingyourself/@oluwatobiloba/introducing-myself-to-steemit,11
oluwatobiloba,attitude-how-people-react-to-situations,Attitude ( how people react to situations),life,"**Our attitude is what depicts us, (what people see that makes them describe us as who  they think we are).
http://cherrypositive.files.wordpress.com/2013/09/attitude.jpg
---------------
**Some people really do go through some terrible experiences that it becomes difficult for them to even explain. 
Some of us that really complain about the situations that we find ourselves in do so because we have not heard or listened to what the next person is going through as well. Some people have come to the conclusion that may be God has written them off or maybe he has even forgotten that he created people like them, but then the good book says that ''God will not tempt us more than we can bear''. This things are really easy to preach or talk about if one is not going through the same thing, it is easier to tell people to trust God when things are going smooth for us,  but the real test of faith comes to show when we have to go through a trial and we can still hide our tears and then smile in order to remind others o","{""tags"":[""life"",""religion""],""image"":[""http://cherrypositive.files.wordpress.com/2013/09/attitude.jpg"",""https://s-media-cache-ak0.pinimg.com/736x/43/38/82/433882620af9e29877473fe2cf46ecf9.jpg""],""links"":[""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwwwRgYZdlEmINcZRq1l-3yc0AY4R5njB4ksJ_ROMXIs_UNBRO"",""https://www.google.com.ng/url?sa=i&amp;rct=j&amp;q=&amp;esrc=s&amp;source=images&amp;cd=&amp;cad=rja&amp;uact=8&amp;ved=&amp;url=https%3A%2F%2Fwww.pinterest.com%2Fexplore%2Fhappiness-is%2F&amp;psig=AFQjCNF1SybSMuBEjBV0h3-LvuCS1aIwUA&amp;ust=1494191789332211""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-05-06 21:31:30,Attitude ( how people react to situations),/life/@oluwatobiloba/attitude-how-people-react-to-situations,0
oluwatobiloba,saluting-the-king,Saluting the king,life,"It is very necessary to learn to give proper salutation to the one who deserves it. He knows the end of a matter from its very beginning. He is the ruler and overseer of the universe.
He can describe everyone and everything in details but he is indescribable. Nigerians call him several names; some of us call him arugbo ojo, chineke, eze, alagbada ina erujeje, yesu and so on.
http://www.beachcitiesmedia.org/img/onetruegod_wide.jpg
He is a miracle working and way making God. A father to the fatherless, the husband to the widows. The God that listens to the cries of thousands that call to him and answers them all at the same time.
http://2.bp.blogspot.com/_sj3uhjSgnW0/STuwzj56NnI/AAAAAAAAAgc/snukEryruPI/s400/14.JPG
A king that crowns king and a king that can dethrone kings.
I salute you my maker, my father, my love, my friend and my king.
Let us all learn to give honor and salutation to the one who deserves it.
Thanks for reading, you can upvote, comment, resteem @ oluwatobiloba.","{""tags"":[""life"",""religion""],""image"":[""http://www.beachcitiesmedia.org/img/onetruegod_wide.jpg"",""http://2.bp.blogspot.com/_sj3uhjSgnW0/STuwzj56NnI/AAAAAAAAAgc/snukEryruPI/s400/14.JPG""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-05-24 23:09:21,Saluting the king,/life/@oluwatobiloba/saluting-the-king,4
oluwatobiloba,stop-trying-to-be-who-you-are-not-201787t21348145z,Stop Trying to be Who You Are not,life,"Being real might be a difficult task especially if you are a type of person who wants to be accepted by everyone or who wants everyone to like him or her.

The society has not helped either,they make us feel we have to act like someone else if we really want to be successful.They make us feel that we cannot be relevant if we do not pretend to be who we are not because they seem not to be interested in what so ever new thing we have to offer. 

# Reasons Why You Need to be Yourself.

  (1) You were created to become you, that is the reason why every of your features and characteristics is specifically associated with just you and that means that you cannot just live or act like every other person .

http://www.theacornstash.com/wp-content/uploads/2012/08/good-things-when-believe-in-yourself.jpg
[Source](https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDtwcAjBx8QdjQSFj2EBHZE6zC_cAUQ99RIJ3OF7_riRBPEQ78)

(2)  The best way to live a fulfilled life  is to live an unmasked life because it gives you inner pea","{""links"":[""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDtwcAjBx8QdjQSFj2EBHZE6zC_cAUQ99RIJ3OF7_riRBPEQ78"",""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUcnFMemKWkWDKTeJNpiV6NIFhQRDez4JwvWTGH1nu6nd43q4Bjg""],""image"":[""http://www.theacornstash.com/wp-content/uploads/2012/08/good-things-when-believe-in-yourself.jpg"",""https://s-media-cache-ak0.pinimg.com/736x/1d/4c/9d/1d4c9d57837bb77b202f2a687bbc0ec8--happy-motivational-quotes-inspirational-health-quotes.jpg""],""users"":[""oluwatobiloba""],""tags"":[""life"",""nigeria"",""africa"",""real""],""app"":""esteem/1.4.5"",""format"":""markdown+html"",""community"":""esteem""}",2017-08-07 20:03:57,Stop Trying to be Who You Are not,/life/@oluwatobiloba/stop-trying-to-be-who-you-are-not-201787t21348145z,6
oluwatobiloba,your-mindset-how-it-affects-your-life-201797t215330515z,Your Mindset...How it Affects Your Life,motivation,"The way you think in your heart is the way you are, this are the  words of a great man which implies that we might have a power within us but it doesn't come into actualization until it is realized and activated.

We need to start acting on the activation of the power from within instead of feeling like a failure all the time.

https://hrexach.files.wordpress.com/2014/08/m9.jpg

Sometimes, victors usually live like victims because they have refused to harness the power of greatness from within.

There comes the power of self believe because what you believe in will determine to a great extent how you will behave.

If you believe today that you are poor, you ultimately become a poor person and if you think everyday that you are a wealthy person, greatness and wealth automatically comes your way.

The basic thing that triggers change in a man's life is not the presence of money but the change of mindset.
Some people like to live as victims of their past because they wouldn't just let go.

http://www.mindtraini","{""links"":[""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQqWpdZwLW9wpt0AF5qKR6CgExzKW9rTmw-jFulmqQDWfWTA85Rcw"",""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_cnSq_CyKMVMmcYSjThWg6u3Lp9xlFl2FHH7bDyDvAFuKpLM1XA""],""image"":[""https://hrexach.files.wordpress.com/2014/08/m9.jpg"",""http://www.mindtrainingsystems.co.uk/sites/default/files/Hypno400.jpg""],""tags"":[""motivation"",""life"",""africa"",""nigeria""],""app"":""esteem/1.4.5"",""format"":""markdown+html"",""community"":""esteem""}",2017-09-07 20:53:33,Your Mindset...How it Affects Your Life,/motivation/@oluwatobiloba/your-mindset-how-it-affects-your-life-201797t215330515z,3
oluwatobiloba,celebrating-a-friend-with-a-good-heart-happy-birthday,Celebrating A Friend With A Good Heart ---Happy Birthday,birthday,"I was at a meeting one faithful day in a very serious mood trying to get down all that the person in front was saying, when someone whispered into my ears in that quiet hall, he said"" I like the way you write''. I replied back with a smile.

At the end of the meeting, I stepped out of the hall and behold I saw him standing outside and he quickly introduced me to a lady as his new friend, I smiled and said nice to meet you the lady said; she has a nice set of teeth. I quickly said thanks.

From that moment, any where he sees me he will shout my friend and I will wave back at him, I even forget what his name is on several occasions as I simply call him my friend, he eventually graduated into calling me his best friend without having each others mobile number.

After some time I realized that the lady he introduced me to, the day we meet was his girl friend and the lady left him for his friend who was richer than him and I wondered why someone will leave a guy who has a really good heart, a nice attitude and lo","{""tags"":[""birthday"",""friends"",""nigeria"",""africa"",""writing""],""users"":[""jodipamungkas"",""gbenga"",""son-of-satire""],""image"":[""https://steemitimages.com/DQmUs8jrnT7fCCWZcet5eYjJ4edw1RJ7sB21jKTQCsEa5g9/IMAG0723_1.jpg"",""https://steemitimages.com/0x0/https://img.esteem.ws/k38amzzr6w.jpg"",""https://steemitimages.com/DQmc67K3jmoKuR1WzxwCgM6dSono6p3vNmgJD1G6JDookmR/IMAG0721_1.jpg"",""https://steemitimages.com/DQmcGTgE9ztQ7QmWESyE7uVqLrUqfbAa1fsTCod6dmsFYjP/GENERIC.gif""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-09-16 08:42:00,Celebrating A Friend With A Good Heart ---Happy Birthday,/birthday/@oluwatobiloba/celebrating-a-friend-with-a-good-heart-happy-birthday,15
oluwatobiloba,the-tale-of-an-african-virgin,The Tale Of An African Virgin,story,"It was the end of another festival and it was a terrifying experience as always, she felt really weak and the pain she experienced was one she could not describe she was just tired of this annoying culture. Is it a crime to be a virgin?

It was usually a yearly festival where a female chosen by the gods will have to walk around the whole town with a calabash on her head and a white piece of material tied around her chest, during those periods when the calabash is on her head she usually gets unconscious whatever she does at that point are things she would not do on a normal day.

https://i.pinimg.com/736x/93/68/6c/93686cfe96823fc9abd70f16fbfcc073--beautiful-black-women-beautiful-people.jpg
[Image source](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwjlvsHcwK_WAhXCvxQKHYLECWgQjRwIBw&url=https%3A%2F%2Fwww.pinterest.com%2FhesperiaV%2Fpeople-culture%2F&psig=AFQjCNFnaR9ZQX2_9tvlaSJhyCAedlR_lw&ust=1505850586694208)

She moves from one position to the other in different","{""tags"":[""story"",""fiction"",""contest"",""nigeria"",""steemit-virus""],""users"":[""jodipamungkas"",""gbenga""],""image"":[""https://i.pinimg.com/736x/93/68/6c/93686cfe96823fc9abd70f16fbfcc073--beautiful-black-women-beautiful-people.jpg"",""https://steemitimages.com/0x0/https://steemitimages.com/DQmcRjNnPE9ZxF8tGxCE2haHE9Zcau8pMgaQEBm4PqeKFWq/photo_7953_20081119.jpg"",""https://steemitimages.com/0x0/https://img.esteem.ws/k38amzzr6w.jpg"",""https://steemitimages.com/DQmcGTgE9ztQ7QmWESyE7uVqLrUqfbAa1fsTCod6dmsFYjP/GENERIC.gif""],""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwjlvsHcwK_WAhXCvxQKHYLECWgQjRwIBw&url=https%3A%2F%2Fwww.pinterest.com%2FhesperiaV%2Fpeople-culture%2F&psig=AFQjCNFnaR9ZQX2_9tvlaSJhyCAedlR_lw&ust=1505850586694208"",""https://freerangestock.com/photos/7953/girl-with-white-blanket.html""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-09-18 20:08:18,The Tale Of An African Virgin,/story/@oluwatobiloba/the-tale-of-an-african-virgin,12
oluwatobiloba,the-importance-of-the-tooth-and-tooth-decay,The Importance of The Tooth and Tooth Decay,health,"The tooth is a very important part of the human body, the functions, and importance of a tooth cannot be overrated. Have you ever imagined yourself without a complete set of the tooth or with half of your teeth, or with the upper part of your teeth gone, it can be really frustrating especially for those of us who happened to be lovers of beef or who like to show our beautiful set of teeth when taking pictures.

http://www.advanceddentalconcept.com/wp-content/uploads/2016/08/prevent-tooth-decay-hammond-LA-Advanced-Dental-Concepts.jpg

The teeth are very vital and relevant and as it stands, it should be treated as such. With so much care and attention paid to the teeth, we will enjoy a healthy and satisfying lifestyle.

# The Importance of Your Teeth.

https://ak5.picdn.net/shutterstock/videos/15558355/thumb/1.jpg

So many people might feel they know all the functions of their teeth but I must say there is something you do not know that if you had known you would have placed a better priority on your teeth.

*","{""tags"":[""health"",""science"",""steemstem"",""nigeria"",""africa""],""users"":[""oluwatobiloba"",""jodipamungkas"",""gbenga""],""image"":[""http://www.advanceddentalconcept.com/wp-content/uploads/2016/08/prevent-tooth-decay-hammond-LA-Advanced-Dental-Concepts.jpg"",""https://ak5.picdn.net/shutterstock/videos/15558355/thumb/1.jpg"",""https://byebyedoctor.com/wp-content/uploads/2011/08/tooth-decay.jpg"",""https://cdn2.theheartysoul.com/uploads/2017/07/THS_July_04_Wed_09_Tartar_buildup-798x418.jpg"",""https://steemitimages.com/0x0/https://img.esteem.ws/k38amzzr6w.jpg"",""https://steemitimages.com/DQmcGTgE9ztQ7QmWESyE7uVqLrUqfbAa1fsTCod6dmsFYjP/GENERIC.gif""],""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwjK2fndxujXAhVJ6RQKHauRCD4QjRwIBw&url=http%3A%2F%2Fwww.advanceddentalconcept.com%2Feasy-ways-prevent-tooth-decay%2F&psig=AOvVaw2M7wOV0Vh9m1XH5Sj6R_Cr&ust=1512208751526632"",""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwiwr7upxejXAhUHORQKHRQ0C",2017-12-01 10:02:15,The Importance of The Tooth and Tooth Decay,/health/@oluwatobiloba/the-importance-of-the-tooth-and-tooth-decay,4
oluwatobiloba,do-you-think-love-or-marriage-has-the-power-to-make-people-change-their-bad-habits-let-s-talk-about-it,Do You Think Love Or Marriage Has The Power To Make People Change Their Bad Habits? Let's Talk About it.,story,"I was reading a post from a lady that I admire her writing skills so much on this platform, that I take my time to read through every line because it is worth giving my time too @mimy, and while I read a post that she wrote some time ago, I felt the urge to write this down as well.

I am going to ask a question today and that question is, do people ever change for the sake of love?
I don't know if you get me right, but the thing is most people want to fall in love often, they want to get settled, they want to get married and all that.

The basic truth remains that no one is perfect and everyone has got their flaws, but sometimes I think we have to think twice before taking some major life decisions.

I will be citing examples of some things that I have seen in some marriages and relationships to you and those things are things that could scare one's thought off marriage forever.

The first instance is a Lady who is married to a man she has three kids for, the story has it that she got pregnant for him during","{""tags"":[""story"",""life"",""stach"",""nigeria"",""africa""],""users"":[""mimy"",""oluwatobiloba"",""jodipamungkas"",""gbenga""],""image"":[""https://steptohealth.com/wp-content/uploads/2016/07/3-heart.jpg"",""http://annecohenwrites.com/wp-content/uploads/2016/07/Love-and-Accept-People-for-How-They-Are-relationships-1-1.jpg"",""https://content.newsinc.com/jpg/2356/31493459/44771993.jpg?t=1476132960"",""https://steemitimages.com/0x0/https://img.esteem.ws/k38amzzr6w.jpg"",""https://steemitimages.com/DQmcGTgE9ztQ7QmWESyE7uVqLrUqfbAa1fsTCod6dmsFYjP/GENERIC.gif""],""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwj6t47it_LXAhXKwBQKHTn7BUIQjRwIBw&url=https%3A%2F%2Fsteptohealth.com%2Fdont-let-love-change-who-you-are%2F&psig=AOvVaw3dZzVZKegFWPb7ELSuxzes&ust=1512548331035262"",""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwito_v0t_LXAhWGuBQKHX9LCYIQjRwIBw&url=http%3A%2F%2Fannecohenwrites.com%2Flove-accept-people%2F&psig=AOvVaw0AJRNZy_9FzHYcutd7Y84Z&ust",2017-12-05 08:24:36,Do You Think Love Or Marriage Has The Power To Make People Change Their Bad Habits? Let's Talk About it.,/story/@oluwatobiloba/do-you-think-love-or-marriage-has-the-power-to-make-people-change-their-bad-habits-let-s-talk-about-it,11
oluwatobiloba,inner-beauty-beauty-with-brain,"Inner Beauty, Beauty with Brain",life,"The issue with us is that we are easily carried away by what we see, that is the outward appearance and we forget that life is basically more than what we can see.
The beauty that is present in the physical is really a strong and attractive one, one that has the power to make people run to you, but beyond that is the inner beauty.

https://s3.ap-southeast-1.amazonaws.com/images.deccanchronicle.com/dc-Cover-vm9dq6d6va44diuhorev31i9t4-20171106002725.Medi.jpeg
[Image Source](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwjWh_nDsIjYAhWJrxoKHaHgBC4QjRwIBw&url=http%3A%2F%2Fwww.deccanchronicle.com%2Flifestyle%2Fhealth-and-wellbeing%2F061117%2Fpositional-vertigo-relates-to-inner-ear-not-brain.html&psig=AOvVaw2FTcHqmpXLIvnauQ2zwdNo&ust=1513302303429730)

The physical beauty of a man or lady can get so much into her head that she begins to feel on top of the world and eventually proud and arrogant.
It is very good that one gets a combination of both beauties as this will he","{""tags"":[""life"",""nigeria"",""africa"",""stach"",""motivation""],""users"":[""oluwatobiloba""],""image"":[""https://s3.ap-southeast-1.amazonaws.com/images.deccanchronicle.com/dc-Cover-vm9dq6d6va44diuhorev31i9t4-20171106002725.Medi.jpeg"",""https://pgeveryday-com.secure.footprint.net/Assets/Modules/Editorial/Article/Images/7-Bits-of-Inner-Beauty-Advice-from-Mom-3-size-2.jpg"",""http://i.dailymail.co.uk/i/pix/2012/09/09/article-2200630-045708780000044D-77_468x302.jpg""],""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwjWh_nDsIjYAhWJrxoKHaHgBC4QjRwIBw&url=http%3A%2F%2Fwww.deccanchronicle.com%2Flifestyle%2Fhealth-and-wellbeing%2F061117%2Fpositional-vertigo-relates-to-inner-ear-not-brain.html&psig=AOvVaw2FTcHqmpXLIvnauQ2zwdNo&ust=1513302303429730"",""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwj1tbu8sIjYAhUIWxoKHQ0tDTQQjRwIBw&url=https%3A%2F%2Fwww.pgeveryday.com%2Ffamily%2Fparenting%2Farticle%2F20-signs-your-brain-has-been-totally-frie",2017-12-14 01:48:51,"Inner Beauty, Beauty with Brain",/life/@oluwatobiloba/inner-beauty-beauty-with-brain,5
