author,permlink,title,category,body,json_metadata,created,root_title,url,children
samsonike,be-a-champion,Be A Champion,beachampionnigeriaafrica,"Champions are not born as champions but they are made and groomed.Becoming a champion is neither accidental nor out  of a single event. it is a process and a journey that requires commitment,focus and great sacrifice.
Champions are found in every facet of life from different tribe, culture, and race. Whether they came from wealthy or humble family background, such men are victorious over circumstances of life. They pulled down strongholds ,subdued kingdoms, stopped the mouth of lions, wrought righteousness and obtained the promises. They were men of good report and valiant for God.
  (https://steemitimages.com/DQmWVDNhxGkbiU2jEXwxrBpchMAL48fsdbr6yYea9Lyotxv/be-a-champion_logo.jpg) 
Gods desire to raise champions men through whom the kingdom of Jesus Christ will be expanded , men who will be God's battle axe in this end time dispensation . We are supposed to be God's instrument of war . 
The bible is full of men whom God raised and used as champions. Against all odds, they rose and shone in their generations.","{""tags"":[""beachampionnigeriaafrica""],""image"":[""https://steemitimages.com/DQmWVDNhxGkbiU2jEXwxrBpchMAL48fsdbr6yYea9Lyotxv/be-a-champion_logo.jpg"",""https://steemitimages.com/DQmU847AumXPt7sMAuCJGTqsnfto4vBKtAb7xBxthUD3su8/maxresdefault.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-12-17 15:03:00,Be A Champion,/beachampionnigeriaafrica/@samsonike/be-a-champion,0
samsonike,tales-of-the-tortoise-and-the-hare,Tales Of The Tortoise And The Hare,story,"The tortoise and the hare.


![tortoise.jpg](https://steemitimages.com/DQmUgf42YYqrsf22YgpKdPuGhEGjhJzwhStHzzn96hmjyQQ/tortoise.jpg)



As we all know that the tortoise is a very cunny animal with different kind of tricks, while the hare is a clever animal with a very good speed and can run faster than any animal.
And the Hare often bragged about how fast he could run. The entire animals are tired of this boast and the Tortoise challenged him to a race. All the animals in the forest were happy and gathered to watch.

The Hare ran down the road for a while and then paused to rest. He looked back at the tortoise that was walking slowly and cried out, ""How do you expect to win this race when you are walking along at this slow, slow pace?""
The Hare stretched himself out alongside the road and fell asleep, thinking, ""There is plenty of time to relax.""
The Tortoise walked and walked, never ever stopping until he came to the finish line.


![tortoise_harefinish line.jpg](https://steemitimages.com/DQmWDp3RMLQFTt2DSt","{""tags"":[""story"",""tortoise"",""wafrica"",""steemschool"",""africaunchained""],""image"":[""https://steemitimages.com/DQmUgf42YYqrsf22YgpKdPuGhEGjhJzwhStHzzn96hmjyQQ/tortoise.jpg"",""https://steemitimages.com/DQmWDp3RMLQFTt2DStnBdGjxGgsBjqaQN6es4gkjs6xFE7d/tortoise_harefinish%20line.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-04-11 10:27:24,Tales Of The Tortoise And The Hare,/story/@samsonike/tales-of-the-tortoise-and-the-hare,1
samsonike,raise-the-signpost,Raise The Signpost,signpost,"https://i1.wp.com/www.sightforsurrey.org.uk/wp-content/uploads/2016/06/Signpost-Logo.png?ssl=1

Raise the signpost	


A signpost is a post bearing a sign that gives direction, information or guidance to travelers. It is especially positioned at a point where two or more roads meet to give information and directions about routes and distances so that traveler will have little or no difficulty in their journey.

As a parent, you must raise the signpost that will model your children’s character in holiness, righteousness and godliness. I mean you must bring them up in the nurture and admonition of the Lord. Today’s children are faced with the challenges of coping with an ever broadening spectrum of influences on decision making and behavior.

Many of these influences have potential negative effects on their growth and development. For instance, social environment has been associated with participation in unhealthy practices such as alcoholism, smoking, drug addiction, indiscriminate sex, fraud etc.

 All over t","{""tags"":[""signpost"",""raiseitup"",""wafrica"",""steemchurch"",""africaunchained""],""image"":[""https://i1.wp.com/www.sightforsurrey.org.uk/wp-content/uploads/2016/06/Signpost-Logo.png?ssl=1"",""https://steemitimages.com/DQmYfKYGX2M8Qc8nNUi6TqUzHKoeLmafZ6PVBMjt7wjXe5R/upvote.gif""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-08-13 13:48:12,Raise The Signpost,/signpost/@samsonike/raise-the-signpost,2
samsonike,be-watchful,BE WATCHFUL,steemchurch,"![](https://cdn.steemitimages.com/DQmXxWmpnReZknVCg2iiiFYWnu6uRK19U3h2NhAyNbp8Qfv/image.png)

BE WATCHFUL

There are different biblical concepts of sleep. We have the natural sleep, the one that allows the body to rest from fatigue and weariness of the day’s work. Spiritual sleep is another type of sleep which put one in a pathetic condition.

Apostle Paul admonished the church in 1 Thessalonians 5: 5-7 saying “Let us not sleep, as do others; but let us watch and be sober for they that sleep sleep in the night; and they that be drunketh are drunken in the night and the day of the lord so cometh as a thief in the night.

This simply means that everyone who wants to be with the Lord at the end must remain awake and watchful. As a believer in Christ, you do not wrestle against flesh and blood but against principalities, powers, rulers of the darkness of this world and spiritual wickedness in high places.

Knowing the caliber of forces and systems you are up against, you cannot afford to doze off spiritually. Yo","{""tags"":[""steemchurch"",""bewatchful"",""wafrica"",""christianlife"",""christianity""],""image"":[""https://cdn.steemitimages.com/DQmXxWmpnReZknVCg2iiiFYWnu6uRK19U3h2NhAyNbp8Qfv/image.png"",""https://steemitimages.com/DQmYfKYGX2M8Qc8nNUi6TqUzHKoeLmafZ6PVBMjt7wjXe5R/upvote.gif""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-09-16 21:13:09,BE WATCHFUL,/steemchurch/@samsonike/be-watchful,4
samsonike,look-unto-him,LOOK UNTO HIM,steemchurch,"![download.jpg](https://cdn.steemitimages.com/DQmXPTkCiQcisur318UH6aXMJuUMCQPYfepgaiKKXhDgxHb/download.jpg)


LOOK UNTO HIM

Since the fall of man in the Garden of Eden, the universal experience of man is that life is not always a bed of roses. Sometimes the weather is fair, at other times, the wind rises and the storm rages. People are daily confronted with different shades of negative circumstances which come in form of job loss, sickness, bereavement, one delay or other satanic attacks.

Most times, the response of many is to focus on their problem or seek help where there is none until they are completely submerged in the problem. However, the Christian attitude and comportment during such times should be different from the way of the world. How you respond to such unpalatable circumstances will determine whether you will emerge victorious or otherwise.

When the storms of life blow your way and threaten your peace, you should not give in to discouragement, despondency or despair. Rather you should cast ","{""tags"":[""steemchurch"",""lookuntohim"",""wafrica"",""christianlife"",""christianity""],""image"":[""https://cdn.steemitimages.com/DQmXPTkCiQcisur318UH6aXMJuUMCQPYfepgaiKKXhDgxHb/download.jpg"",""https://steemitimages.com/DQmYfKYGX2M8Qc8nNUi6TqUzHKoeLmafZ6PVBMjt7wjXe5R/upvote.gif""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-09-11 12:45:21,LOOK UNTO HIM,/steemchurch/@samsonike/look-unto-him,1
samsonike,am-lost-in-your-love,Am lost in your love,poetry,"http://cdn-webimages.wimages.net/05134415cc8ddc984348ae3c872d9b744929ce-wm.jpg?v=3

Am lost in your love

Your hand in mine
Together we go on a journey
With our eyes locked 
Saying it all without
Altering a word

The fragrance of your tresses
Still dwells in my breath
It stirs my soul
When i hold you in my arms
How can I forget? 
What your eyes spoke

How can I forget the 
Night that we have spent together
I saw you a thousand times 
Then why the restlessness
My heart goes crazy seeing you

There is surely something about you
Every breath I draw
Seeks your permission
I fail to find myself
All that is left is you

Intolerant to a moment
Of separation from you
This is something else
We are close despite being far
This bond is something else
I have seen you thousand times

Yet my eagerness persist
Uncontrollable is the heart
Such is the way of love
My heart goes crazy seeing you
Am lost in your love
And I fail to find myself 

https://steemitimages.com/DQmYfKYGX2M8Qc8nNUi6TqUzHKoeLmafZ6PVBMjt7wjXe5R/upvote","{""tags"":[""poetry"",""iamlostinyourlove"",""wafrica"",""steempoets"",""poetsunited""],""image"":[""http://cdn-webimages.wimages.net/05134415cc8ddc984348ae3c872d9b744929ce-wm.jpg?v=3""],""links"":[""https://steemitimages.com/DQmYfKYGX2M8Qc8nNUi6TqUzHKoeLmafZ6PVBMjt7wjXe5R/upvote""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-09-05 09:06:57,Am lost in your love,/poetry/@samsonike/am-lost-in-your-love,2
samsonike,the-will-to-die-for-you,THE WILL TO DIE FOR YOU,poetry,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRze4FhLsfKIKAvSsqGo7SgAz-Tscd1HW0D3_Sr_otnW-eU1I5J

THE WILL TO DIE FOR YOU

It is the grace of God
That brought me and you together
The will to die for 
Taught me to live
With you, my love
The world is colourful and vivid

You are the exciting night
I Am the burning star
With you, my love
The world is colourful and vivid
I will be yours
If you want just say the word

Whichever part I take
Your fragrance follows me
You are the dream 
I see every night
Our meeting is destined

Your presence breathes 
New life into me
I’m the barren sky, you are
The moonlight that illuminates it
It is the grace of god 
That your love is mine

The will to die for you
Taught me to live
With you my love
The world is colourful and vivid
I have come to you
Giving up all else

My eyes speaks your name
Everything for me 
Comes after you
It’s a million dollar truth and 
I will never leave you.
Under no circumstance



https://steemitimages.com/DQmYfKYGX2M8Qc8nNUi6TqUzHKoeLmafZ6PVBM","{""tags"":[""poetry"",""willtodieforyou"",""wafrica"",""steempoets"",""poetsunited""],""image"":[""https://steemitimages.com/DQmYfKYGX2M8Qc8nNUi6TqUzHKoeLmafZ6PVBMjt7wjXe5R/upvote.gif""],""links"":[""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRze4FhLsfKIKAvSsqGo7SgAz-Tscd1HW0D3_Sr_otnW-eU1I5J""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-09-04 11:45:39,THE WILL TO DIE FOR YOU,/poetry/@samsonike/the-will-to-die-for-you,0
samsonike,are-your-ready-for-the-rapture,ARE YOUR READY FOR THE RAPTURE,steemchurch,"https://thumbs.dreamstime.com/z/you-ready-3d-words-16141707.jpg


ARE YOU READY

Do you know that any moment from now, the rapture can take place in a twinkling of an eye. This is the earnest expectation of every believer in Christ. Life on this earth becomes increasingly unbearable; violence, disasters and numerous weird issues daily assaulting our sense of decency and general well-being.

Happenings around us indicate that the rapture may soon take place, but the question is, are you ready to take-off? In preparing  for the rapture, you must guard against the tendency to become presumptuous in your thinking.

Many people feel that if they stick to some set of rules; then they will surely make it to heaven. Unfortunately, it does not work that way! Making rapture is not just based on personal grit or following a code of conduct because “all our righteousness are as filthy rags.

We can never be good enough as candidate of heaven, only God’s righteousness can make us eligible. Little wonder, Apostle Paul sai","{""tags"":[""steemchurch"",""areyouready"",""wafrica"",""christianlife"",""christianity""],""image"":[""https://thumbs.dreamstime.com/z/you-ready-3d-words-16141707.jpg"",""https://steemitimages.com/DQmYfKYGX2M8Qc8nNUi6TqUzHKoeLmafZ6PVBMjt7wjXe5R/upvote.gif""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-09-03 14:33:42,ARE YOUR READY FOR THE RAPTURE,/steemchurch/@samsonike/are-your-ready-for-the-rapture,2
samsonike,seek-ye-first,Seek Ye First,steemchurch,"Seek ye first

![](https://cdn.steemitimages.com/DQmWBJDmdm1fBCyNPLZhukZeU3wgfU3btUp7urdUVvq3Ty9/image.png)

Perhaps, the above topic should be considered as the greatest sermon that was preached by the master Himself. The consideration is premised on the fact that Jesus Christ was teaching about priority or goal setting.

In one of His earthly ministrations where He fed the hungry multitude after the whole day teaching, he discovered that they came again the other time. To be honest, they must have probably come because of the miraculous food provided for them by Christ,

They were not there to actually listen to the sermon He wanted to teach them but because of the bread and fish. Nowadays, a lot of people are running after God because of what they want from him. If they get it today, they stop following Him tomorrow.

What a big mistake resulting from misplaced priorities? In the books of Matthew 6:33, Jesus Christ said seek ye first the kingdom of God and his righteousness: and all these things shall be ","{""tags"":[""steemchurch"",""seekyefirst"",""wafrica"",""christianlife"",""christianity""],""image"":[""https://cdn.steemitimages.com/DQmWBJDmdm1fBCyNPLZhukZeU3wgfU3btUp7urdUVvq3Ty9/image.png"",""https://steemitimages.com/DQmYfKYGX2M8Qc8nNUi6TqUzHKoeLmafZ6PVBMjt7wjXe5R/upvote.gif""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-08-26 14:44:06,Seek Ye First,/steemchurch/@samsonike/seek-ye-first,1
samsonike,i-have-found-love,I Have Found Love,poetry,"https://i.pinimg.com/originals/e5/d6/92/e5d692fd9bf6bdb95748e79d311b1632.jpg

I have found, I have found it in you
Because I have found love in you
It’s a good thing that I got to 
Know your flaws before knowing
Your qualities 
It is really amazing that I fell in love
With your flaws also, baby

When we are close, when we are together
When we are face to face
My soul wants to say
I have found love
I found love and I found it in you

I have entrusted my life
In your hands and in your eyes	
I have found my way to your heart
Through your lips

Come a little closer and hold my hand	
Walk with me an just sit there
And share your thought with me
Just once be selfish, baby
And live your life for yourself

Our sights and our breadth
Met me when we met
Lets forget the past and 
Think about the future
Nobody knows what the future holds for us

Sweetheart let give it our best
When we are close
When we are together
When we are face to face
My soul wants to say
I found love

Without worrying about the future
Lets live li","{""tags"":[""poetry"",""ihavefoundlove"",""wafrica"",""steempoets"",""poetsunited""],""users"":[""dollypee""],""image"":[""https://i.pinimg.com/originals/e5/d6/92/e5d692fd9bf6bdb95748e79d311b1632.jpg"",""https://steemitimages.com/DQmYfKYGX2M8Qc8nNUi6TqUzHKoeLmafZ6PVBMjt7wjXe5R/upvote.gif""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-08-24 13:25:39,I Have Found Love,/poetry/@samsonike/i-have-found-love,1
