author,permlink,title,category,body,json_metadata,created,root_title,url,children
leomarysleon,meme-challenge-71-entry-2,Meme challenge # 71 - Entry # 2,memechallenge,"<center>***Hello Steemians! This is my #meme 2 to participate in the #memechallenge***</center>

<center>![god renovado.jpg](https://cdn.steemitimages.com/DQmaZ1UCH2ZQB7J75Wz8Z57d9r7ja7WCADaXobeM27QrY4o/god%20renovado.jpg)</center>



<center>Gracias @fibra59
Gracias a todos los colaboradores ... 
@leomaryss</center>","{""tags"":[""memechallenge"",""contest"",""steemit"",""meme"",""funny""],""users"":[""fibra59"",""leomaryss""],""image"":[""https://cdn.steemitimages.com/DQmaZ1UCH2ZQB7J75Wz8Z57d9r7ja7WCADaXobeM27QrY4o/god%20renovado.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-05-31 16:49:54,Meme challenge # 71 - Entry # 2,/memechallenge/@leomarysleon/meme-challenge-71-entry-2,0
leomarysleon,clean-planet,Clean PLanet,cleanplanet,"![](https://cdn.steemitimages.com/DQmaUyUCZ813FCN32VzeAECBLazfxyPSQB8BdaLd3r9t3Vk/image.png)

This movement aims to clean up the planet and free it from pollution due to the lack of awareness of us human beings.

The damage we cause when we throw our waste in green areas, beaches or simply when we do not classify our garbage in plastic, glass or paper is visible to all.

It is so easy to make a small effort and contribute to the sanitation of our environment.


Since July 1, 2018, Cleanplanet has promoted an initiative within the Steemit platform offering its cure vote through the @cleanplanet account.

You just have to make a post with a video showing your ecological contribution. Whether you are in a city, in nature, at sea, anyone with a Steem account can present an action test on the Steem blockchain and receive a reward for their contribution to the planet.



They are also promoting the CT token on steem-engine.

You just have to ""burn"" a few CT tokens by following the steps below:
After posting your c","{""tags"":[""cleanplanet"",""smt"",""steem"",""life"",""nature""],""users"":[""cleanplanet"",""null""],""image"":[""https://cdn.steemitimages.com/DQmaUyUCZ813FCN32VzeAECBLazfxyPSQB8BdaLd3r9t3Vk/image.png""],""app"":""steemit/0.1"",""format"":""markdown""}",2019-08-08 06:19:06,Clean PLanet,/cleanplanet/@leomarysleon/clean-planet,3
leomarysleon,yesterday-and-today,Yesterday and Today,life,"Yesterday

(https://cdn.steemitimages.com/DQmYgpRLAgfnLyupDhB49srWo5xhDPksmR2hbyUdQPhJMFB/IMG_0929.JPG)
Today

![IMG_0788.JPG](https://cdn.steemitimages.com/DQmSNJfZ1Dun1j3ALNBZe7GegZKxQeEtSUQFWYaTRGu3Qws/IMG_0788.JPG)

I'm wise, a woman of faith who blindly believes that everything works for good because even of the worst situations you get a valuable learning, and I lost count of the times I've started from scratch, I've had to reinvent, are so many times I've fallen and have if The times I have invested my time and energy in situations that are not worthwhile.

Today I am super practical and simple I say the clear and frontal things I never stay quiet, I know what I want, where I go and especially where I come from, I have clear that the Earth turns non-stop and we can be well above but in a breath you can be with the Paws Pa ' arr IBA, Internalicé that the professional and material achievements are important and leave satisfaction fruit of effort and discipline but do not set the tone in our emotional st","{""tags"":[""life"",""blog""],""image"":[""https://cdn.steemitimages.com/DQmYgpRLAgfnLyupDhB49srWo5xhDPksmR2hbyUdQPhJMFB/IMG_0929.JPG"",""https://cdn.steemitimages.com/DQmSNJfZ1Dun1j3ALNBZe7GegZKxQeEtSUQFWYaTRGu3Qws/IMG_0788.JPG""],""app"":""steemit/0.1"",""format"":""markdown""}",2019-04-21 00:09:54,Yesterday and Today,/life/@leomarysleon/yesterday-and-today,1
leomarysleon,elevated-toilet-seat-with-remo-special-for-elderly-people-with-joint-ailments,Elevated Toilet Seat With Remo - Special for elderly people with joint ailments,steemhunt,"# Elevated Toilet Seat With Remo
Special for elderly people with joint ailments

---
## Screenshots
<center><img alt=""Locking_tolilt_Seat_(1).jpg"" src=""https://s3-us-west-2.amazonaws.com/steemhunt/production/steemhunt/2019-03-22/aa87bb4b-Locking_tolilt_Seat_(1).jpg""/></center>





---
## Hunter's comment
Arms can be removed or added as needed
Improved locking device
Fits most toilets
Heavy-duty moulded plastic

---
## Link
https://drivedevilbiss.co.uk/products/locking-elevated-toilet-seat-with-removable-arms

---
<center><br/>![Steemhunt.com](https://i.imgur.com/jB2axnW.png)<br/>
This is posted on Steemhunt - A place where you can dig products and earn STEEM.
[View on Steemhunt.com](https://steemhunt.com/@leomarysleon/elevated-toilet-seat-with-remo-special-for-elderly-people-with-joint-ailments)
</center>","{""tags"":[""steemhunt"",""health"",""life"",""elderly-people"",""toilet-lift""],""image"":[""https://s3-us-west-2.amazonaws.com/steemhunt/production/steemhunt/2019-03-22/aa87bb4b-Locking_tolilt_Seat_(1).jpg""],""links"":[""https://drivedevilbiss.co.uk/products/locking-elevated-toilet-seat-with-removable-arms""],""community"":""steemhunt"",""app"":""steemhunt/1.0.0""}",2019-03-22 06:29:51,Elevated Toilet Seat With Remo - Special for elderly people with joint ailments,/steemhunt/@leomarysleon/elevated-toilet-seat-with-remo-special-for-elderly-people-with-joint-ailments,2
leomarysleon,hipertension-arterial-relato-corto-vivencia-reflexion,Hipertensión Arterial  - Relato Corto - Vivencia - Reflexión,life,"<center>![](https://cdn.steemitimages.com/DQmXLVMXzvdESyH9sH8pdE6HmCj43AJih34RDRpvoKV2Nvc/image.png)
[Origen de la Imagen](https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjjhOW30qvgAhUnq1kKHVGhB8IQjRx6BAgBEAU&url=https%3A%2F%2Flosandes.com.ar%2Farticle%2Fview%3Fslug%3Dacv-una-charla-para-conocer-prevenir-y-actuar&psig=AOvVaw1usO2i3n0cMRSzY0ZcwDWk&ust=1549698343341803)</center>

### Hipertensión Arterial
<div class=text-justify>Entre nebulosas recuerdo aquel tremendo dolor de cabeza. Imágenes confusas de aquel día se entrelazan en mi mente. Me sentí impotente por no poder proteger a mi familia como siempre lo había hecho, quería transmitirles calma con mis gestos pero sólo podía mirar hacia mi lado izquierdo. En mi mente tenía todas esas palabras que debía decirles pero no podía hablar. Traté muchas veces de ponerme de pié pero no logré levantarme. Recuerdo haber escuchado sirenas de ambulancia, muchos gritos y frases de desespero. Tuve que quedarme quieto y dejarme llevar. Me di c","{""tags"":[""life"",""spanish"",""cervantes"",""ulog"",""ocd-curation""],""image"":[""https://cdn.steemitimages.com/DQmXLVMXzvdESyH9sH8pdE6HmCj43AJih34RDRpvoKV2Nvc/image.png"",""https://cdn.steemitimages.com/DQmeD3Hf6kCZqTR1BpdnrnwxaZVM48u4acBUMCuDFjLkKxw/electro.jpg""],""links"":[""https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjjhOW30qvgAhUnq1kKHVGhB8IQjRx6BAgBEAU&url=https%3A%2F%2Flosandes.com.ar%2Farticle%2Fview%3Fslug%3Dacv-una-charla-para-conocer-prevenir-y-actuar&psig=AOvVaw1usO2i3n0cMRSzY0ZcwDWk&ust=1549698343341803""],""app"":""steemit/0.1"",""format"":""markdown""}",2019-02-08 07:55:51,Hipertensión Arterial  - Relato Corto - Vivencia - Reflexión,/life/@leomarysleon/hipertension-arterial-relato-corto-vivencia-reflexion,3
leomarysleon,sin-tanto-espacio,Sin tanto espacio,spanish,"<div class=text-justify> Sin tanto espacio es otra de mis canciones favoritas  interpretada por mi cantante favorito Franco de Vita, quiero compartir el vídeo y la letra de esta súper canción y que para mi en este justo momento de mi vida es la mejor de todas, es para ti donde quieras que estés...</div>


<center>Donde quiera que vayas, yo estaré contigo
Al principio, al final o a mitad de camino
Yo estaré como sabes esperando ese día
Que la vida nos ponga frente a frente de nuevo
Se que no puedo detenerte, cada quien es dueño de si

Y vuela si quieres volar, desde arriba puedes mirar mejor
No tardarás mucho en bajar y del suelo no pasarás
No hay tanto espacio como se ve
No hay tanto cielo como se ve

Y donde quiera que vaya yo te llevo conmigo
Y se suele decir queremos buenos amigos
Mira que la vida suele dar muchas vueltas
Y a veces lo que tenemos no le damos valor
Y dejaré las puertas abiertas y toda posibilidad

Y vuela si quieres volar, desde arriba puedes mirar mejor
No tardarás mucho en bajar y del su","{""tags"":[""spanish""],""image"":[""https://img.youtube.com/vi/3_Z6bVNAgeo/0.jpg""],""links"":[""https://www.youtube.com/watch?v=3_Z6bVNAgeo""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-09-09 16:40:06,Sin tanto espacio,/spanish/@leomarysleon/sin-tanto-espacio,0
leomarysleon,te-veo-venir-soledad,Te veo venir soledad,spanish,"<div class=text-justify>Hoy quiero compartir una canción de uno de mis cantantes preferidos, hoy mas que nunca me siento identificada. Cuando la vida nos estremece bien rudo, es cuando realmente empezamos a vivir y de manera automática tu vida se convierte en antes y después de ese acontecimiento... </div>

Aquí les dejo la letra y el vídeo de una de mis canciones favoritas de mi cantante favorito en español: Franco de Vita

<center>
***Te veo venir soledad***

No me digas que 
Acabamos de comprender 
Que lo nuestro llego a su final 
Que sin mi tu puedes continuar

Te veo venir soledad

Y no me digas que 
No merezco lo que recibí 
Y que yo nunca te comprendí 
Pero, cuanto esperabas de mi?

Te veo venir soledad

Que las noches no tienen final 
Que la vida sin tu no me vale de na' 
Otro golpe para el corazón 
Que dejaste tirado aquí en este rincón

Te veo venir soledad

Y no me digas que 
Que algún día tal vez volverás 
Que por ahora no hay nada que hablar 
Muchas cosas, si, para olvidar

Te veo venir soledad
","{""tags"":[""spanish"",""music""],""image"":[""https://img.youtube.com/vi/nfGkinGixSc/0.jpg""],""links"":[""https://www.youtube.com/watch?v=nfGkinGixSc""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-09-09 16:19:30,Te veo venir soledad,/spanish/@leomarysleon/te-veo-venir-soledad,0
leomarysleon,extranar,Extrañar,spanish,"<center>El tan inmune, ella tan dulce... 
Ella aun se levanta en las noches con la misma sensación, vino por ella...
Ella solo tenia ojos para el
Ella aun sueña con su café y el cigarrillo, saben mejor  a su lado...
Ella le explica a su corazón que pronto sanara, el no entiende su idioma
Ella entreno su corazón para no esperar, el es impaciente 
El reparo su corazón y también lo dejo peor
Ella esta triste porque lo extraña
Ella espera un mensaje, el ya no piensa en ella
Ella espera una llamada, el no la extraña
Ella lo ve en todos lados, el no tiene ojos para ella
Ella lo escucha en todos lados, el no tiene oídos para ella
El tiempo, solo el tiempo sanara su corazón herido
Tiempo largo...
Bendito tiempo, ella quiere dormir desde hace un mes
Ella lo ama, lo extraña...</center>","{""tags"":[""spanish""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-09-04 20:06:21,Extrañar,/spanish/@leomarysleon/extranar,0
leomarysleon,goldilock-almacena-sus-datos-confidenciales-y-sus-activos-criptograficos,GOLDILOCK - store your confidential data and cryptographic assets,crypto,"### [Goldilock](https://www.goldilock.com/)
Goldilock is revolutionizing the way in which data is stored on the Internet by creating an ecosystem to protect cryptocurrencies and digital assets for individuals and institutions.
We base Goldilock on the premise that your data should not be physically connected to the Internet when you are not using it, but should be available to you from anywhere immediately when you want to access it.
A digital asset management system, we can also say that it is responsible for storing, managing, organizing, processing and distributing digital assets. Its objective is to simplify the management of digital assets and provide authorized users with the search and recovery of the asset they need. The value of the managed asset materializes only if it is accessible to authorized users at the time they need it.
With [Goldilock](https://www.goldilock.com/), data remains physically disconnected from the Internet when not in use. It uses several authentication factors to access the sy","{""tags"":[""crypto"",""blockchain"",""technology"",""contest"",""ico""],""image"":[""https://cdn.steemitimages.com/DQmV244S2xenxKMk3WtQn9E8hM2gbxFVFWpz58uqS5gNHs9/Presentaci%C3%B3n1.jpg""],""app"":""steemit/0.1"",""format"":""markdown"",""links"":[""https://www.goldilock.com/"",""https://steemit.com/crypto/@originalworks/810-steem-sponsored-writing-contest-goldilock""]}",2018-08-08 00:57:06,GOLDILOCK - store your confidential data and cryptographic assets,/crypto/@leomarysleon/goldilock-almacena-sus-datos-confidenciales-y-sus-activos-criptograficos,2
leomarysleon,graft-total-security-cryptocurrency-payment-system,GRAFT - Total Security Cryptocurrency Payment System,graphics,"With the Mobile Point of Sale App, as well as with the integration of the Verifone and Ingenico terminals, Graft shows great concern for the safety factor and the well-being of its users.

My design is inspired by the QR code that is generated in each of the transactions and that keeps all the client information secure.


![leo.jpg](https://cdn.steemitimages.com/DQmbMYpvwcgPiL7hcjdsXFkSGpK9kEGBZMKQsuQNczX8458/leo.jpg)

---------------------------------------------------------------------------------------------

<center>Image created in order to participate in the [contest](https://steemit.com/graphics/@mediaworks/260-steem-graphics-design-contest-graft) sponsored by @mediaworks to advertise [GRAFT](https://www.graft.network/)
graftgraphic2018</center>","{""tags"":[""graphics"",""contest"",""design"",""art"",""logo""],""users"":[""mediaworks""],""image"":[""https://cdn.steemitimages.com/DQmbMYpvwcgPiL7hcjdsXFkSGpK9kEGBZMKQsuQNczX8458/leo.jpg""],""links"":[""https://steemit.com/graphics/@mediaworks/260-steem-graphics-design-contest-graft"",""https://www.graft.network/""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-07-19 01:08:15,GRAFT - Total Security Cryptocurrency Payment System,/graphics/@leomarysleon/graft-total-security-cryptocurrency-payment-system,0
leomarysleon,how-can-you-mend-a-broken-heart,How Can You Mend a Broken Heart,poetry,"# <center>***""How Can You Mend a Broken Heart""***
Bee Gees
I can think of younger days
When living for my life
Was everything a man could want to do
I could never see tomorrow
But I was never told about the sorrow
How can you mend a broken heart?
How can you stop the rain from falling down?
How can you stop the sun from shining?
What makes the world go round?
How can you mend this broken man?
How can a loser ever win?
Please help me mend my broken heart
And let me live again
I can still feel the breeze
That rustles through the trees
And misty memories of days gone by
We could never see tomorrow
But no one said a word about the sorrow
How can you mend a broken heart?
How can you stop the rain from falling down
How can you stop the sun from shining
What makes…</center>

<center>https://www.youtube.com/watch?v=bpZuAtwDfag</center>","{""tags"":[""poetry"",""music"",""live"",""love"",""writing""],""image"":[""https://img.youtube.com/vi/bpZuAtwDfag/0.jpg""],""links"":[""https://www.youtube.com/watch?v=bpZuAtwDfag""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-07-18 07:07:33,How Can You Mend a Broken Heart,/poetry/@leomarysleon/how-can-you-mend-a-broken-heart,0
leomarysleon,gochain-ecological-blockchain,GoChain - Ecological Blockchain,graphics,"<div class=text-justify>What is GoChain?
GoChain is a network that solves scalability issues plaguing some of the modern blockchain networks.

Many new blockchain companies are built on top of Ethereum. Ethereum is currently limited to 13 transactions per second. Given the huge user base, this results in slow transaction speeds and limits the scalability of the network itself as well as DApps that are built on it.

GoChain solves this issue by introducing a new consensus algorithm called POR(Proof of Reputation). It is faster, cheaper and easy to implement

----------------------------------------------------------------------------------------------------------------------------------------------
![](https://cdn.steemitimages.com/DQmPW6rFP2udkPz8QHBDpqJ9MnkEPhSCYLbFBYdEYx3NNQA/image.png)
-----------------------------------------------------------------------------------------------------------------------------------------------
GoChain is live and ready to use. It is already delivering on it's promise and ","{""tags"":[""graphics"",""contest"",""design"",""art"",""logo""],""users"":[""mediaworks""],""image"":[""https://cdn.steemitimages.com/DQmPW6rFP2udkPz8QHBDpqJ9MnkEPhSCYLbFBYdEYx3NNQA/image.png"",""https://cdn.steemitimages.com/DQmRsbCQ9uzdbLgooVYKM9UtfyzMyscoVScJKPhgZxmuDfr/eco.jpg""],""links"":[""https://steemit.com/graphics/@mediaworks/240-steem-graphics-design-contest-gochain"",""https://gochain.io/""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-07-05 03:10:09,GoChain - Ecological Blockchain,/graphics/@leomarysleon/gochain-ecological-blockchain,2
leomarysleon,daddykirbs-cool-curators-contest-21-entry-leomarysleon,Daddykirbs Cool Curators Contest # 21 Entry - @leomarysleon,contest,"# <center>***Take Advantage of The Fruit of The Season Harvested in your Garden***</center>

<center>https://www.youtube.com/watch?v=LbbCfy7At5U</center>


<div class=text-justify>Hello my dear friends Steemianos! Today I leave an excellent video of our friend @daddykirbs where he teaches us to use the fruits of the season.

Learn to prepare delicious sauces with fruits harvested from your garden, it is interesting how our friend @daddykirbs teaches us to use the fruits of our garden and get the most out of it by preparing delicious recipes.</div> 

<center> I invite my friends:
@juanmolina & @abcvivir
to participate in this contest
Remember Upvote, Resteem and Follow
Don´t Forget to subscribe to the channel [BLAKE KIRBY´s](https://www.youtube.com/user/daddykirbs/featured)
Click [here](https://steemit.com/contest/@daddykirbs/win-prize-pool-15-sbd-cool-curator-contest-21-plus-winner-from-week-20) to participate in this contest
Good Luck, kisses</center>","{""tags"":[""contest"",""homesteading"",""steemit"",""fun"",""crypto""],""users"":[""daddykirbs"",""juanmolina"",""abcvivir""],""image"":[""https://img.youtube.com/vi/LbbCfy7At5U/0.jpg""],""links"":[""https://www.youtube.com/watch?v=LbbCfy7At5U"",""https://www.youtube.com/user/daddykirbs/featured"",""https://steemit.com/contest/@daddykirbs/win-prize-pool-15-sbd-cool-curator-contest-21-plus-winner-from-week-20""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-06-27 12:04:24,Daddykirbs Cool Curators Contest # 21 Entry - @leomarysleon,/contest/@leomarysleon/daddykirbs-cool-curators-contest-21-entry-leomarysleon,2
leomarysleon,streamity-decentralized-cryptocurrency-exchange,STREAMITY-Decentralized Cryptocurrency Exchange,graphics,"[*Streamity*](https://streamity.org/en/) It is a complete platform for cryptocurrencies, focused on the concept of P2P exchanges. 


<center>![streamity terminado.jpg](https://cdn.steemitimages.com/DQmZWi5wcgu2nh3mjSDyvgbJpGYRHKS1m7aq5cZrAx6DcZH/streamity%20terminado.jpg)</center>   

<center>![Presentación1.jpg](https://cdn.steemitimages.com/DQmXzXx6pxz8MEr8HeyphPScmVu3LjW1Tsy1dL4yte6b72e/Presentaci%C3%B3n1.jpg)</center>   

<center>My design is based on the security and confidence that Streamity offers us.
Participate in design [*The contest*](https://steemit.com/graphics/@mediaworks/240-steem-graphics-design-contest-streamity) 
@mediaworks</center>
<center>streamitygraphic2018</center>","{""tags"":[""graphics"",""contest"",""design"",""art"",""logo""],""users"":[""mediaworks""],""image"":[""https://cdn.steemitimages.com/DQmZWi5wcgu2nh3mjSDyvgbJpGYRHKS1m7aq5cZrAx6DcZH/streamity%20terminado.jpg"",""https://cdn.steemitimages.com/DQmXzXx6pxz8MEr8HeyphPScmVu3LjW1Tsy1dL4yte6b72e/Presentaci%C3%B3n1.jpg""],""links"":[""https://streamity.org/en/"",""https://steemit.com/graphics/@mediaworks/240-steem-graphics-design-contest-streamity""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-06-27 01:49:57,STREAMITY-Decentralized Cryptocurrency Exchange,/graphics/@leomarysleon/streamity-decentralized-cryptocurrency-exchange,0
leomarysleon,daddykirbs-cool-curators-contest-18-entry-leomarysleon,Daddykirbs Cool Curators Contest #18 Entry - @leomarysleon,contest,"# <center>***Observa como aprovechar el agua de lluvia recolectándola para las gallinas***</center>                      


<center>https://www.youtube.com/watch?v=sRaF2r0bsHU</center>                      


<center>No olvide suscribirse al canal [BLAKE KIRBY's](https://www.youtube.com/user/daddykirbs/featured)en youtube 

Invito a mis amigos: 
@garybilbao & @gabrielb
a participar en este concurso
UPVOTE, RESTEEM, and FOLLOW!
Todos los días aprendemos algo nuevo
 hoy aprendimos como recolectar agua de lluvia para las gallinas
  
Gracias @daddykirbs
Buena suerte para todos</center>","{""tags"":[""contest"",""homesteading"",""steemit"",""life"",""cripto""],""users"":[""garybilbao"",""gabrielb"",""daddykirbs""],""image"":[""https://img.youtube.com/vi/sRaF2r0bsHU/0.jpg""],""links"":[""https://www.youtube.com/watch?v=sRaF2r0bsHU"",""https://www.youtube.com/user/daddykirbs/featured""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-06-06 01:54:15,Daddykirbs Cool Curators Contest #18 Entry - @leomarysleon,/contest/@leomarysleon/daddykirbs-cool-curators-contest-18-entry-leomarysleon,0
