author,permlink,title,category,body,json_metadata,created,root_title,url,children
omo-ope,allows-brain-and-artificial-neurons-to-link-up-over-the-web,Allows brain and artificial neurons to link up over the web,hive-175254,"Brain functions are made feasible by using circuits of spiking neurons, linked collectively through microscopic, but incredibly intricate hyperlinks referred to as synapses, according to researchers based at the University of Padova in Italy in partners University of Zurich and ETH Zurich created artificial neurons on Silicon microchips. 


![images-27.jpg](https://cdn.steemitimages.com/DQmRNzymjFXy3uBNZRbtS5wq5HBfGGUSS3fJzRkyUyS6Z3d/images-27.jpg)
[Image source](google.com)


The virtual laboratory used to be brought together by way of an tricky setup controlling nanoelectronic synapses developed on the University of Southampton. These synaptic devices are referred to as memristors.

Founded researchers captured spiking routine being sent over the web from the biological neurons in Italy and then disbursed them to the memristive synapses. Responses were then despatched onward to the artificial neurons in Zurich additionally within the form of spiking pastime. The process at the same time works in reverse to","{""app"":""peakd/2020.03.10"",""format"":""markdown"",""tags"":[""technology"",""steemstem"",""steemleo"",""cn"",""ocd""],""links"":[""https://google.com"",""https://www.sciencedaily.com/images/2020/02/200226110843_1_540x360.jpg"",""https://www.southampton.ac.uk/news/2020/02/brain-artificial-neurons.page"",""http://www.southampton.ac.uk/"",""https://www.sciencedaily.com/releases/2020/02/200226110843.htm""],""image"":[""https://cdn.steemitimages.com/DQmRNzymjFXy3uBNZRbtS5wq5HBfGGUSS3fJzRkyUyS6Z3d/images-27.jpg"",""https://cdn.steemitimages.com/DQmPg1KfWN7sSV7yvKnADLedagSjhPkavgHAZRtjKa3vDuF/200226110843_1_540x360.jpg""]}",2020-03-23 18:18:27,Allows brain and artificial neurons to link up over the web,/hive-175254/@omo-ope/allows-brain-and-artificial-neurons-to-link-up-over-the-web,1
omo-ope,interacting-with-customers-in-sales-and-marketing-management,interacting with customers in sales and marketing management.,leofinance,"it is important maintain good contact with the customer at all time, putting smile on customer face will encourages them to tell you their need and what they interested in seeing.


![download (3).jpg](https://cdn.steemitimages.com/DQmTPXJ7DAWCDhKyC5KyQUCM6AuK78X28QgWKSiNQ21h8r4/download%20(3).jpg)


actual interactions with customers will encounter many situations during selling situations. skill are not easy for most people, they reqular praticae to implement effectively is requires skill to achieve these ideas and not have customers feel interrogated.

# you most learn about this following.

* use probing questions to draw out information from the customer and identify their need.
* present prouct featuews and benefits to the customer.
* direct customers towards making positive choices.
* handle customer objection.
* use effective techniques to close a sale.
* handle customer complaints.
* use effective sales communication.

you have learned about some new ideas that will give you a new perspective on the","{""tags"":[""leofinance"",""ocd"",""gems"",""business"",""marketing""],""image"":[""https://cdn.steemitimages.com/DQmTPXJ7DAWCDhKyC5KyQUCM6AuK78X28QgWKSiNQ21h8r4/download%20(3).jpg""],""app"":""hiveblog/0.1"",""format"":""markdown""}",2020-06-08 15:05:39,interacting with customers in sales and marketing management.,/leofinance/@omo-ope/interacting-with-customers-in-sales-and-marketing-management,0
omo-ope,developing-market-and-sales-force-potential-in-sales-and-marketing-management,Developing market and sales force potential in sales and marketing management.,hive-167922,"Developing market and sales force potential of the sales territory manager by ensuring attention is given to the five main components to territory management as outlined below.

![download.jpg](https://images.hive.blog/DQmZYkM7uJ3JhCmZVaJKo4ftJsHX42cvXpFowrEkESksNAN/download.jpg)

* territory analysis: often its found that as much as eighty percent or more of the business is generated from as few as 20-30 percent of customer, this may be because of a number of factors that are evident in the target marketing analysis.

* territory organization:  its very common for a change of salesperson in the territory to result in an increase in sales it isn't that the previous salesperson was not a good employee.

* adapting to changing market conditions: market conditions can change rapidly, a sales and marketing manager must be sensitive to change and be able to react quickly to adjust to the changing market.

* territory time management: will commonly have one hundred or more clients and prospects, in some businesses","{""tags"":[""ocd"",""gems"",""ccc""],""image"":[""https://images.hive.blog/DQmZYkM7uJ3JhCmZVaJKo4ftJsHX42cvXpFowrEkESksNAN/download.jpg""],""app"":""hiveblog/0.1"",""format"":""markdown""}",2020-06-23 14:21:00,Developing market and sales force potential in sales and marketing management.,/hive-167922/@omo-ope/developing-market-and-sales-force-potential-in-sales-and-marketing-management,1
omo-ope,target-marketing-in-sales-and-marketing-management,target marketing in sales and marketing management.,hive-167922,"as a part of this research you will have defined who are you potential customer and developed profiles the needs of those customers, the market research developed during the preparation of the business plan and use this information to direct the activities of the field salespeople.

![download (4).jpg](https://cdn.steemitimages.com/DQmUP5S2oxmE65eats8Lq6i58hgHxKXP1bZFstWuS14h3gx/download%20(4).jpg)

the sales manager will then develop a target marketing strategy to penetratethose markets and directs the field sales people in the implementation of the strategy. this following material will indicate the type of information in order to determine the potential customers the target market probably you need to review;
* customer base
* financial feasibility of business offering.

target marketing involves the process of analyzing and segementing the total market to identify in order of important the market segments that will yield the best of investment of resources, people and time its limited to market segments.","{""tags"":[""hive-167922"",""ocd"",""gems"",""ccc""],""image"":[""https://cdn.steemitimages.com/DQmUP5S2oxmE65eats8Lq6i58hgHxKXP1bZFstWuS14h3gx/download%20(4).jpg""],""app"":""hiveblog/0.1"",""format"":""markdown""}",2020-06-22 18:32:21,target marketing in sales and marketing management.,/hive-167922/@omo-ope/target-marketing-in-sales-and-marketing-management,3
omo-ope,sales-staff-management-in-sales-and-marketing-management,Sales staff management in sales and marketing management.,hive-167922,"In the beginning of any sales and marketin management the attributes of a good sales and marketing manager, we stated that key factors in the success of failure of a business and the ability of a business to grow in an arderly and profitable way are;

![download (5).jpg](https://images.hive.blog/DQmdFS9rukDevXpZAYv8gLC1zz3YzCvyRetvCz2PdJCDKYJ/download%20(5).jpg)

* The quality of the people hired.
* How well they are motivated.
* How well they are directed to achieve the goal of the business.

Sales staff management will focus on how the sales manager directs and motivates the sales force to accomplish the goals of the company.

The responsibility of the organization sales and marketing management to motivate people in implementing the overall marketing plan and manrketing strategies of a organization.

The requires management being constantly aware of change inthe marketplace being able to benefit the organzation presonnal and resources to deal with these changes.","{""tags"":[""ocd"",""gems"",""ccc""],""image"":[""https://images.hive.blog/DQmdFS9rukDevXpZAYv8gLC1zz3YzCvyRetvCz2PdJCDKYJ/download%20(5).jpg""],""app"":""hiveblog/0.1"",""format"":""markdown""}",2020-06-21 15:06:36,Sales staff management in sales and marketing management.,/hive-167922/@omo-ope/sales-staff-management-in-sales-and-marketing-management,1
omo-ope,important-of-google-in-social-media-marketing,important of google+ in social media marketing.,hive-167922,"there is no clear map for the success look like for a business on  google+, the member base grew faster than any product or service google has launched its entire history. the network reached ten millions users with a min of 16days that massive.


![gp.jpg](https://images.hive.blog/DQmZTEP8Dgn1cj3zfNBTWiWv2mLHCEtPVPSoXqMoSKUGjaa/gp.jpg)

it grew a lot faster than Facebook did at the same point in history, desire the millions who suddenly signed up for google+ few are deeply engaged with the community yet, research show that google+ memeber spend a mere 3minutes a month on the network.

![download.png](https://images.hive.blog/DQmTq2U1X7rHJgT8TP9oMMRGNVVaYQTF1b56odKr46jusRG/download.png)

the platfrom remain an important place to rest learn and optimize, some google+ innovations like hangout could prove to be important behavior changing and trendstetting development. other like circles quickly copied by other platform and may not remain much of a differentiator, these are the most attractive element of the go","{""tags"":[""hive-167922"",""ocd"",""gems"",""leofinance"",""ccc""],""image"":[""https://images.hive.blog/DQmZTEP8Dgn1cj3zfNBTWiWv2mLHCEtPVPSoXqMoSKUGjaa/gp.jpg"",""https://images.hive.blog/DQmTq2U1X7rHJgT8TP9oMMRGNVVaYQTF1b56odKr46jusRG/download.png""],""app"":""hiveblog/0.1"",""format"":""markdown""}",2020-06-19 15:05:18,important of google+ in social media marketing.,/hive-167922/@omo-ope/important-of-google-in-social-media-marketing,1
omo-ope,how-facebook-help-in-social-media-marketing,how facebook help in social media marketing.,hive-167922,"facebook keep on getting richer, as a user experience place of businesses in building communities and advertise for customer, the site keep on growing because of new user, merely curious at first, often become addicted to the site.

![download.png](https://cdn.steemitimages.com/DQmTq2U1X7rHJgT8TP9oMMRGNVVaYQTF1b56odKr46jusRG/download.png)

contrast that many other social network, where curious newcomers tend to kick the tires, get bored and quit coming back. top business facebook pages measured by likes is dominated by celebrities, games entertainment and utilities.

critcal mass and momentum on their side these multmillion fan is growing by thousands of likes a day.the top Facebook presences include Coca-Cola, Disney, Converse, Starbucks, Red Bull, Oreos, Skittles, McDonalds, Pringles, Walmart, Victoria’s Secret, Target, iTunes, Xbox, Monster Energy, Subway, Nutella, Adidas, and Levi’s, each with 10 to 30 million fans apiece.

facebook is rolled out very powerful advertising options, given all free function","{""tags"":[""ocd"",""steemleo"",""marketing"",""socialmediamarketing"",""business""],""image"":[""https://cdn.steemitimages.com/DQmTq2U1X7rHJgT8TP9oMMRGNVVaYQTF1b56odKr46jusRG/download.png""],""app"":""hiveblog/0.1"",""format"":""markdown""}",2020-06-16 15:55:24,how facebook help in social media marketing.,/hive-167922/@omo-ope/how-facebook-help-in-social-media-marketing,4
omo-ope,taking-an-order-from-your-business-customer-client-in-sales-and-marketing-management,taking an order from your business customer client in sales and marketing management.,hive-167922,"identify the purchaser if an purchase order is used , if in any doubt verify with you customer before taking the order that the client or customer in authorized to purchase for their company.

![download (5).jpg](https://cdn.steemitimages.com/DQmdFS9rukDevXpZAYv8gLC1zz3YzCvyRetvCz2PdJCDKYJ/download%20(5).jpg)

collect the shipping address on each and every charge invoice, signatures should be legible, scrawl is unacceptable and must be accompanied getting the habit of printing.

![download.jpg](https://cdn.steemitimages.com/DQmZYkM7uJ3JhCmZVaJKo4ftJsHX42cvXpFowrEkESksNAN/download.jpg)

if you are taking down all the important information from the professional individual that will require you to get back or intouch to them, always make sure you repeat back to them what you have written and secure their agreement that you have information correctly.","{""tags"":[""gems"",""ocd"",""marketing"",""business""],""image"":[""https://cdn.steemitimages.com/DQmdFS9rukDevXpZAYv8gLC1zz3YzCvyRetvCz2PdJCDKYJ/download%20(5).jpg"",""https://cdn.steemitimages.com/DQmZYkM7uJ3JhCmZVaJKo4ftJsHX42cvXpFowrEkESksNAN/download.jpg""],""app"":""hiveblog/0.1"",""format"":""markdown""}",2020-06-14 19:27:21,taking an order from your business customer client in sales and marketing management.,/hive-167922/@omo-ope/taking-an-order-from-your-business-customer-client-in-sales-and-marketing-management,0
omo-ope,learning-from-selling-situations-in-sales-and-marketing-management,learning from selling situations in sales and marketing management.,leofinance,"you might be evaluate to have led lost on sale but the questions you need to ask yourself has a salesman. this are very important to learn about you losses; was my selling attitude pleasant?, did you show an interest in the customer?, did i unsell the customer by to much talk?, did you show the customer any additional items, including alternate products of a better quality and higher pace? etc.


![download (2).jpg](https://cdn.steemitimages.com/DQmVAcWtDWEQFdJ7vsvL2P2jqFuC5iUHoDXCLwkPo3TPtmn/download%20(2).jpg)


salespeople should review their own performance particularly after losing a sale, they can learn what happened whem do make a sale, many people are not good at introspective, self critical and with themselves.

alot can be learned and sales performance certainly improve, get in habit using a checklist one presented here regular to help you personal sales analysis and customer objections complaints negatively.

* obtain valuable customer feedback on products.
* assess costomer attitued to cumpany po","{""tags"":[""leofinance"",""ocd"",""gems"",""marketing"",""business""],""image"":[""https://cdn.steemitimages.com/DQmVAcWtDWEQFdJ7vsvL2P2jqFuC5iUHoDXCLwkPo3TPtmn/download%20(2).jpg""],""app"":""hiveblog/0.1"",""format"":""markdown""}",2020-06-06 18:36:48,learning from selling situations in sales and marketing management.,/leofinance/@omo-ope/learning-from-selling-situations-in-sales-and-marketing-management,1
omo-ope,content-explosion-in-artificial-intelligence,Content Explosion in Artificial Intelligence.,hivegaming,"in practical challenges this sheer quantity of hand craft assets and content used by evern medium scale contemporary games can be daunting move around the world convincingly, Artificial Intelligence agents drown on library of animation effort are needed necessary to maintain the given level of desired fidelity.


![0_cdleOXvnoVsBXKDF.jpg](https://cdn.steemitimages.com/DQmUbX4gnFfWqRykPnXiykuJmBpRfbeBtPRnkQMqCizW5hg/0_cdleOXvnoVsBXKDF.jpg)


some other asset can impose limitation the resistivity of Artificial Intelligence, if the audio recording are used for verbal communication an Artificial Intelligence character is restricted to speaking only the lines that are recorded.

even without the limitation of evoke over recordings, text for dialogue can represent the significant volume of context. Artificial Intelligence agent to interact meaningfully around the surrounding world the agent needs a selection of points of interest knowledge of making use of them.

the most valueable approach to addressing the probl","{""tags"":[""hivegaming"",""technology"",""science"",""ai"",""games""],""image"":[""https://cdn.steemitimages.com/DQmUbX4gnFfWqRykPnXiykuJmBpRfbeBtPRnkQMqCizW5hg/0_cdleOXvnoVsBXKDF.jpg""],""app"":""hiveblog/0.1"",""format"":""markdown""}",2020-06-03 16:23:30,Content Explosion in Artificial Intelligence.,/hivegaming/@omo-ope/content-explosion-in-artificial-intelligence,0
