author,permlink,title,category,body,json_metadata,created,root_title,url,children
helenkim,cannabis-and-much-more-about-it,Cannabis and  much more about it.,cannabis,"Cannabis is a genus of flowering plant that consists of 3 species or subspecies, sativa, indica, and ruderalis. The plant is indigenous to vital Asia and the Indian subcontinent.

http://www.ziptrials.us/wp-content/uploads/2015/07/Marijuana-Leaves.jpg
[image source](http://www.ziptrials.us/wp-content/uploads/2015/07/Marijuana-Leaves.jpg)

# EFFECTS OF CANNABIS...

* The results of cannabis start within a few minutes after inhalation and may ultimate a few hours. 

* The hashish high can affect a person bodily in some of ways, along with an accelerated coronary heart rate, dry mouth, bloodshot/glazed eyes and an boom in appetite.

* When a consumer is high, they maximum normally sense euphoria and a sedative tranquility. 

* People who smoke hashish might also revel in lengthy-time period outcomes, much like that of a cigarette smoker, including a cough, frequent chest colds and chronic bronchitis.

* Some of the fast-term bodily outcomes of hashish use consist of expanded coronary heart charge and reddening ","{""tags"":[""cannabis"",""health"",""nigeria"",""africa"",""life""],""image"":[""http://www.ziptrials.us/wp-content/uploads/2015/07/Marijuana-Leaves.jpg""],""links"":[""http://www.ziptrials.us/wp-content/uploads/2015/07/Marijuana-Leaves.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-10-06 21:21:30,Cannabis and  much more about it.,/cannabis/@helenkim/cannabis-and-much-more-about-it,2
helenkim,what-a-wicked-world,what a wicked world.,writing,"Am a pupil of the Chemical engineering branch. It took place that she met this guy from a Particular social network referred to as"" Badoo"" within the starting, she has become usually exited every Evening whilst this guy calls her on phone. I turned into definitely a lot Happy four her due to the fact she has long gone through a
A lot in the Hans of horrible men. The man on a particular day invited her to his Country facet. But since she has not met with Him earlier than, she begged me to accompany her to The place.

https://mark.trademarkia.com/logo-images/russell-kaplan/life-is-wicked-77256929.jpg
[image source](https://mark.trademarkia.com/logo-images/russell-kaplan/life-is-wicked-77256929.jpg)

So we every determined to make 6-hour experience sincerely to Make her happy. Meanwhile, I called My pastor and recommended him approximately it. He attempted to prevent me from following her. I never Wanted to appear like an enemy of progress; I decided to pray and forget about my pastor and Follow her on that sad","{""tags"":[""writing"",""life"",""story"",""nigeria"",""africa""],""image"":[""https://mark.trademarkia.com/logo-images/russell-kaplan/life-is-wicked-77256929.jpg""],""links"":[""https://mark.trademarkia.com/logo-images/russell-kaplan/life-is-wicked-77256929.jpg"",""https://www.facebook.com/groups/examfield/permalink/1440197539433709/""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-09-29 21:34:09,what a wicked world.,/writing/@helenkim/what-a-wicked-world,0
helenkim,true-life-story,True Life Story!,story,"Few months in the past, I graduated from the university.On my way lower again domestic, i went to the park and had been given a bus.While searching forward to extraordinary passengers, I had this ordinary urge to urinate. It modified into so robust that it felt like I was going to particles my dress if I did not ease myself right now. I needed to depart my seat and search for the toilet / relaxation room within the park to ease myself.

http://www.videoinspiration.net/blog/wp-content/uploads/2013/11/True-Stories-F1.jpg
[image source](http://www.videoinspiration.net/blog/wp-content/uploads/2013/11/True-Stories-F1.jpg)

When I were given again, a man had taken over my seat. He dumped the ebook I left there on every other seat. We argued and argued however it wasn't yielding any end end result for the man appears hard from the way he talked.
I had been given worn-out and gave up. I sat precisely in which he dumped my e-book. Shortly after, the using force took off. On our way, we had a completely horrible twist","{""tags"":[""story"",""writing"",""life"",""nigeria"",""african""],""image"":[""http://www.videoinspiration.net/blog/wp-content/uploads/2013/11/True-Stories-F1.jpg""],""links"":[""http://www.videoinspiration.net/blog/wp-content/uploads/2013/11/True-Stories-F1.jpg"",""https://www.facebook.com""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-09-28 16:20:03,True Life Story!,/story/@helenkim/true-life-story,0
helenkim,japan-s-financial-authority-to-begin-bitcoin-exchange-surveillance-next-month,Japan’s Financial Authority to Begin Bitcoin Exchange Surveillance Next Month,cryptocoins,"Japan’s Financial Services Agency (FSA) has found that it's going to begin a whole evaluate of bitcoin exchanges running inside the u.S ., which incorporates setting them below complete surveillance beginning in October. This step is to make certain they comply with the revised law which legalized bitcoin as a way of price in April.

http://moneyweek.com/wp-content/uploads/2016/05/160504-bitcoin-b.jpg
[image source](http://moneyweek.com/wp-content/uploads/2016/05/160504-bitcoin-b.jpg)

Following the revised rate offerings regulation that went into effect in April to legalize bitcoin as a rate method, all bitcoin exchanges operating in Japan are required to check in with the government. The cut-off date for registration is the cease of September.

If the organization reveals no hassle inside the initial exam, the exchanges will preserve with the registration manner and begin a full evaluation to make certain compliance. As part of the technique, the FSA will position the exchanges beneath “whole surveillance,","{""tags"":[""cryptocoins"",""cryptocurrency"",""bitcion"",""news"",""money""],""image"":[""http://moneyweek.com/wp-content/uploads/2016/05/160504-bitcoin-b.jpg""],""links"":[""http://moneyweek.com/wp-content/uploads/2016/05/160504-bitcoin-b.jpg"",""https://news.bitcoin.com/japans-financial-authority-surveillance-bitcoin-exchanges/""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-09-27 15:52:36,Japan’s Financial Authority to Begin Bitcoin Exchange Surveillance Next Month,/cryptocoins/@helenkim/japan-s-financial-authority-to-begin-bitcoin-exchange-surveillance-next-month,0
helenkim,a-heart-touching-story,A HEART TOUCHING STORY.,writing,"I loved jmk with all my heart we dated for 12 years and He became the individual that disvi*gined me Few weeks once more, He proposed to me and it was the happiest day of my lifestyles i was complete of smiles When i had been given home normal knew that something had befell to me After a lot excitements, i broke the data to my own family and we have been all excited After a date end up agreed , jmk left for US to  come and
officially ask for my hand on marriage

http://www.theloverspoint.com/wp-content/uploads/2017/05/16195165_738422342971413_5815467532121129558_n-1.jpg
[image source](http://www.theloverspoint.com/wp-content/uploads/2017/05/16195165_738422342971413_5815467532121129558_n-1.jpg)

I would not sleep that night time time, i was so glad To in the end relax with me best man i ever gave my heart to I actually have not identified any other man except Ivan He emerge as my lifestyles We waited until? Nighttime, no sign of him i known as His both phones but switched off i have become so worried and curi","{""tags"":[""writing"",""love"",""life"",""story""],""image"":[""http://www.theloverspoint.com/wp-content/uploads/2017/05/16195165_738422342971413_5815467532121129558_n-1.jpg""],""links"":[""http://www.theloverspoint.com/wp-content/uploads/2017/05/16195165_738422342971413_5815467532121129558_n-1.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-09-26 20:56:36,A HEART TOUCHING STORY.,/writing/@helenkim/a-heart-touching-story,0
helenkim,laughing-gas-side-effects,Laughing Gas Side Effects.,nigeria,"Laughing fuel , typically known as Nitrous oxide  or nitrous, is a chemical compound, an oxide of nitrogen with the components N 2O. It become produced for the number one time through the English chemist Joseph Priestley in 1775, but have become later popularized thru Sir Humphrey Davy in the 1790s. At room temperature, nitrous oxide does no longer have any coloration and isn't always inflammable. However, it has a pleasing odor and a candy taste. Laughing fuel or nitrous oxide has severa uses, however, it is very well-known as a clinical sedative, mainly in dental strategies. While nitrous oxide is used as an oxidizer in rocket motors, it will increase the energy output of engines in motor racing. It is likewise an usual food additive and is used within the form of an aerosol spray propellant. It is used to fill packets of fries and one of a kind snacks, a good way to displace bacteria-inducing oxygen. Nowadays, it's miles used for entertainment capabilities as a dissociative drug, however such sports are u","{""tags"":[""nigeria"",""africa"",""laughingas"",""science"",""m11""],""image"":[""https://www.thesun.co.uk/wp-content/uploads/2017/04/nintchdbpict000117739439.jpg?strip=all&amp;w=960"",""https://www.draxelrad.com/wp-content/uploads/2014/09/bigstock-d-chemistry-formulas-in-glass-6589976-1.jpg""],""links"":[""https://www.thesun.co.uk/wp-content/uploads/2017/04/nintchdbpict000117739439.jpg?strip=all&w=960"",""https://www.draxelrad.com/wp-content/uploads/2014/09/bigstock-d-chemistry-formulas-in-glass-6589976-1.jpg"",""https://www.buzzle.com/articles/laughing-gas-side-effects.html""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-09-23 20:35:24,Laughing Gas Side Effects.,/nigeria/@helenkim/laughing-gas-side-effects,0
helenkim,what-are-the-uses-of-chalcogens,What are the Uses of Chalcogens?,nigeria,"The chalcogens  are the chemical elements in group 16 of the periodic table. This organization is also referred to as the oxygen family. It consists of the elements oxygen (O), sulfur (S), selenium (Se), tellurium (Te), and the radioactive detail polonium (Po). According to record More than 100 million metric heaps of oxygen is produced each year around the arena through the process of fractional distillation of air, which is used for various commercial and clinical purpose.

![org.jpg](https://steemitimages.com/DQmTGCDSrosZdKnUrgFPCMu8ESGsJ9G3eaCEw5FjkaWvxp2/org.jpg)
[image source](https://2012books.lardbucket.org/books/principles-of-general-chemistry-v1.0/section_26/7830b2f76e933abd61dd7c22c8148c3c.jpg)

Uses of Chalcogens
1.	Oxygen:
. Everyone knows oxygen is vital for the survival of lifestyles on Warth. It is needed by way of the use of plant life and animals to create Adenosine-Triphosphate, and to gadget DNA, water, and amino acids in the body. In reality, more than half of of a mean human frame consi","{""tags"":[""nigeria"",""africa"",""writing"",""health"",""life""],""image"":[""https://steemitimages.com/DQmTGCDSrosZdKnUrgFPCMu8ESGsJ9G3eaCEw5FjkaWvxp2/org.jpg""],""links"":[""https://2012books.lardbucket.org/books/principles-of-general-chemistry-v1.0/section_26/7830b2f76e933abd61dd7c22c8148c3c.jpg"",""https://www.buzzle.com/articles/what-are-the-uses-of-chalcogens.html""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-09-22 19:59:54,What are the Uses of Chalcogens?,/nigeria/@helenkim/what-are-the-uses-of-chalcogens,0
helenkim,stop-trying-to-be-happy,STOP TRYING TO BE HAPPY.,nigeria,"If you need to try to be cool, you can in no way be cool. If you want to try to be happy, then you may in no manner be satisfied. Maybe the problem in recent times is humans are virtually attempting too hard.
 
Happiness, like one in all a kind feelings, isn't a few thing you bought, but as an opportunity some trouble you inhabit. When you’re raging pissed and throwing a socket wrench at the neighbor’s children, you aren't self-acutely aware about your united states of anger. You aren't wondering to yourself, “Am I finally irritated? Am I doing this right?” No, you’re out for blood. You inhabit and stay the anger. You are the anger. And then it’s long lengthy past.

![not.jpg](https://steemitimages.com/DQmSQUsJPB6y9uXGPnNDKkXTBMJNcbNcC47K1dfhy3QNeep/not.jpg)
[image source](http://wallpaper.pickywallpapers.com/1920x1080/female-rock-climbing-desktop-wallpaper.jpg)

Just as a confident man doesn’t marvel if he’s confident, a happy guy does now not surprising if he’s happy. He in reality is.

What this means is ","{""tags"":[""nigeria"",""africa"",""writing"",""blog"",""steemit""],""image"":[""https://steemitimages.com/DQmSQUsJPB6y9uXGPnNDKkXTBMJNcbNcC47K1dfhy3QNeep/not.jpg""],""links"":[""http://wallpaper.pickywallpapers.com/1920x1080/female-rock-climbing-desktop-wallpaper.jpg"",""https://markmanson.net/stop-trying-to-be-happy""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-09-21 18:39:03,STOP TRYING TO BE HAPPY.,/nigeria/@helenkim/stop-trying-to-be-happy,3
helenkim,a-killer-disease-pompe,A Killer Disease (Pompe),nigeria,"The mean purpose within the returned of this adorable publish is the movie 'Extraordinary Measures' is a 2010 clinical drama film starring Brendan Fraser, Harrison Ford, and Keri Russell. This movie is the reason for my topic nowadays.
 
>>>When you have no longer visible the film this is it underneath
https://www.youtube.com/watch?v=uERXzc2F54Q

Glycogen garage contamination type additionally called Pompe sickness or acid maltase deficiency is an autosomal recessive metabolic illness which damages muscle and nerve cells at some point of the body. It is due to an accumulation of glycogen inside the lysosome due to deficiency of the lysosomal acid alpha-glucosidase enzyme. It is the simplest glycogen garage ailment with a ailment in lysosomal metabolism, and the primary glycogen storage disorder to be identified, in 1932 via the Dutch pathologist J. C. Pompe.

The assemble-up of glycogen motives contemporary muscle weak point myopathy in some unspecified time in the destiny of the body and impacts various fra","{""tags"":[""nigeria"",""africa"",""health"",""disease"",""life""],""image"":[""https://img.youtube.com/vi/uERXzc2F54Q/0.jpg""],""links"":[""https://www.youtube.com/watch?v=uERXzc2F54Q"",""https://ghr.nlm.nih.gov/condition/pompe-disease""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-09-20 16:58:24,A Killer Disease (Pompe),/nigeria/@helenkim/a-killer-disease-pompe,1
helenkim,the-history-of-jazz-dance,The History Of Jazz Dance.,nigeria,"Jazz dancing consists of actions which may be specifically choreographed to West-African song compositions. The actions are termed as jazz, which is basically an umbrella term, and set to 'blues' notes, polyrhythms, improvisations, the 'swung' phrase, and syncopation. The Jazz shape of dancing clearly pertains to severa dance styles which can be related, which incorporates ballet, tap, and the African-American rhythms-and-dance styles.

This dance form originated in the past due 1800s. The fashion took time to seize on, however in the long run did with the useful useful useful resource of the usage of the mid 1900s. Till the Nineteen Fifties, jazz dancing modified into in huge aspect called faucet dancing, due to the physical sports activities set to jazz track. The Jazz Age come to be characterised with the resource of the recognition of dance forms together with the Cakewalk, Charleston, Jitterbug, Black Bottom, Boogie Woogie, and the Lindy Hop. These styles superior at numerous venues, and had been excell","{""tags"":[""nigeria"",""africa"",""dance"",""history"",""writing""],""image"":[""https://steemitimages.com/DQmf3gS2ZXAoQCWxeRR3H8gBBKjdtbAtEh36QcBwDij69Eo/jazz.jpg""],""links"":[""https://www.freehousedance.com/wp-content/uploads/2015/03/Jazz11-1320x676.jpg"",""http://www.buzzle.com/articles/history-of-jazz-dance.html""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-09-18 18:27:48,The History Of Jazz Dance.,/nigeria/@helenkim/the-history-of-jazz-dance,4
